campaign,context,reward_target,feature_arm,acq_arm,seed,round,n_selected_cum,cum_top5pct_capture
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,1,400,0.06465517241379311
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,2,600,0.14224137931034483
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,3,800,0.23706896551724138
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,4,1000,0.30603448275862066
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,5,1200,0.3599137931034483
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260914,6,1400,0.4267241379310345
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,1,400,0.06465517241379311
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,2,600,0.125
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,3,800,0.16379310344827586
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,4,1000,0.21120689655172414
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,5,1200,0.24568965517241378
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260914,6,1400,0.2823275862068966
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,1,400,0.036637931034482756
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,2,600,0.05603448275862069
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,3,800,0.07758620689655173
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,4,1000,0.10344827586206896
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,5,1200,0.13793103448275862
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260914,6,1400,0.16163793103448276
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,0,200,0.01293103448275862
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,1,400,0.09267241379310345
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,2,600,0.17456896551724138
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,3,800,0.25
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,4,1000,0.3275862068965517
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,5,1200,0.39655172413793105
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260915,6,1400,0.4482758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,0,200,0.01293103448275862
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,1,400,0.09267241379310345
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,2,600,0.15301724137931033
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,3,800,0.21120689655172414
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,4,1000,0.27801724137931033
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,5,1200,0.33189655172413796
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260915,6,1400,0.38362068965517243
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,0,200,0.01293103448275862
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,1,400,0.03879310344827586
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,2,600,0.06465517241379311
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,3,800,0.09482758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,4,1000,0.11637931034482758
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,5,1200,0.14655172413793102
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260915,6,1400,0.15732758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,1,400,0.07974137931034483
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,2,600,0.15948275862068967
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,3,800,0.23922413793103448
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,4,1000,0.3125
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,5,1200,0.3857758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,greedy,20260916,6,1400,0.46120689655172414
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,1,400,0.07974137931034483
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,2,600,0.15732758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,3,800,0.21982758620689655
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,4,1000,0.26939655172413796
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,5,1200,0.3146551724137931
zel039_hspa5,zel039_aec7,HSPA5,pairs,static,20260916,6,1400,0.36637931034482757
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,0,200,0.015086206896551725
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,1,400,0.04525862068965517
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,2,600,0.06465517241379311
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,3,800,0.08405172413793104
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,4,1000,0.11206896551724138
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,5,1200,0.14224137931034483
zel039_hspa5,zel039_aec7,HSPA5,pairs,random,20260916,6,1400,0.15301724137931033
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,0,200,0.010606060606060607
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,1,400,0.03636363636363636
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,2,600,0.06818181818181818
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,3,800,0.09696969696969697
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,4,1000,0.1318181818181818
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,5,1200,0.16818181818181818
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260914,6,1400,0.21363636363636362
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,0,200,0.010606060606060607
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,1,400,0.03636363636363636
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,2,600,0.06363636363636363
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,3,800,0.07727272727272727
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,4,1000,0.09090909090909091
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,5,1200,0.11363636363636363
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260914,6,1400,0.13484848484848486
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,0,200,0.010606060606060607
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,1,400,0.02878787878787879
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,2,600,0.045454545454545456
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,3,800,0.05909090909090909
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,4,1000,0.0803030303030303
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,5,1200,0.09545454545454546
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260914,6,1400,0.11666666666666667
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,0,200,0.012121212121212121
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,1,400,0.06515151515151515
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,2,600,0.09696969696969697
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,3,800,0.12575757575757576
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,4,1000,0.16818181818181818
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,5,1200,0.21212121212121213
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260915,6,1400,0.24848484848484848
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,0,200,0.012121212121212121
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,1,400,0.06363636363636363
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,2,600,0.09696969696969697
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,3,800,0.12424242424242424
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,4,1000,0.15303030303030302
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,5,1200,0.17727272727272728
zel024_mettl3,zel024_hek293,METTL3,mains,static,20260915,6,1400,0.20909090909090908
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,0,200,0.012121212121212121
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,1,400,0.025757575757575757
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,2,600,0.03939393939393939
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,3,800,0.06363636363636363
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,4,1000,0.07424242424242425
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,5,1200,0.08787878787878788
zel024_mettl3,zel024_hek293,METTL3,mains,random,20260915,6,1400,0.09393939393939393
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260916,0,200,0.006060606060606061
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260916,1,400,0.05909090909090909
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260916,2,600,0.1
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260916,3,800,0.1393939393939394
zel024_mettl3,zel024_hek293,METTL3,mains,greedy,20260916,4,1000,0.17424242424242425
