control_name,public_compound_id,public_compound_name
AZD-3463,CPD_727697023490,AZD-3463
AZD-7624,CPD_097241972673,AZD-7624
BAY-293,CPD_168135774311,BAY-293
BGT226,CPD_150752035598,BGT226
BMS-509744,CPD_027984907598,BMS-509744
CP-673451,CPD_652873333040,CP-673451
Capmatinib,CPD_326167036106,Capmatinib
Crizotinib,CPD_471264222636,Crizotinib
GCN2-IN-7,CPD_771491795323,GCN2-IN-7
GSK126,CPD_849358895118,GSK126
HTH-01-015,CPD_014302469794,HTH-01-015
IRAK inhibitor 1,CPD_360434106630,IRAK inhibitor 1
JAB-3068,CPD_978689160853,JAB-3068
KME-2780,CPD_859937920157,KME-2780
MK2-IN-1,CPD_570860546420,MK2-IN-1
MSC1094308,CPD_780406670572,MSC1094308
N-deshydroxyethyl dasatinib,CPD_351179563828,N-deshydroxyethyl dasatinib
SMARCA ligand 1,CPD_029002508615,SMARCA ligand 1
STC-15,CPD_780270304878,STC-15
STM2457,CPD_430449302192,STM2457
XL019,CPD_144607136087,XL019
ZF135/MRTX-1719,CPD_204680181321,ZF135/MRTX-1719
ZM336372,CPD_317738115337,ZM336372
aloperine,CPD_137861888137,aloperine
ceritinib,CPD_236412001094,ceritinib
cobimetinib,CPD_549558202917,cobimetinib
derazantinib,CPD_908424475140,derazantinib
endoxifen,CPD_548023859323,endoxifen
fexagratinib,CPD_056284183052,fexagratinib
lapatinib,CPD_167907273288,lapatinib
momelotinib/CYT387,CPD_483004848109,momelotinib/CYT387
palbociclib,CPD_179756457827,palbociclib
rucaparib,CPD_104027493525,rucaparib
sorafenib,CPD_279017060612,sorafenib
veliparib,CPD_930596955388,veliparib
