hypothesis_id,hypothesis_type,status,confidence_tier,context,bb_level_ids,claim,evidence,matched_control,moa_class,caveats,evidence_rank_score
ZSH-0001,level_control_mimicry,hypothesis_anchor_validated,A,zel039_aec7,bb0=BB_2085420374,"bb0=BB_2085420374 mimics HTH-01-015 (HSF1/heat-shock) - rank-1 control match, cos 0.631","cos=0.631, p=0.000 vs 200-draw gene-label-permutation null",HTH-01-015,HSF1_heat_shock_validated,weak_null,0.6307403183973566
ZSH-0002,level_control_mimicry,hypothesis_anchor_validated,A,zel039_aec7,bb1=BB_5422857344,"bb1=BB_5422857344 mimics palbociclib (CDK4/6 inhibition, translation-ribosome axis) - rank-1 control match, cos 0.572","cos=0.572, p=0.000 vs 200-draw gene-label-permutation null",palbociclib,CDK_inhibitor,weak_null,0.5720116365661638
ZSH-0003,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_0326377388 & bb1=BB_4347926671,"bb0=BB_0326377388 & bb1=BB_4347926671: interaction-driven program up [COX7A2(+0.027), COX7C(+0.026), RPL26(+0.026)]; z=26.6 vs permutation refits; bb-effect-atlas agreement cos=0.88; driver family recurs in >=2 contexts","z_perm=26.6, composite=50.1, n=166, cos_bb_effect_atlas=0.879; null: label-permutation refits",,,none,50.1
ZSH-0004,pair_hypothesis,hypothesis_strong,B,zel028_a549,bb1=BB_6317837957 & bb4=BB_0435703887,"bb1=BB_6317837957 & bb4=BB_0435703887: interaction-driven program up [AGR2(+0.047), HSP90B1(+0.046), HSP90AA1(+0.045)]; z=19.3 vs permutation refits; bb-effect-atlas agreement cos=0.94; driver family recurs in >=2 contexts","z_perm=19.3, composite=37.3, n=73, cos_bb_effect_atlas=0.936; null: label-permutation refits",,,singleton,37.3
ZSH-0005,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_7372899989 & bb1=BB_4347926671,"bb0=BB_7372899989 & bb1=BB_4347926671: interaction-driven program up [HSPA5(+0.065), MT-CO1(+0.060), LINC00486(+0.052)]; z=15.3 vs permutation refits; bb-effect-atlas agreement cos=0.80; driver family recurs in >=2 contexts","z_perm=15.3, composite=27.6, n=166, cos_bb_effect_atlas=0.798; null: label-permutation refits",,,none,27.6
ZSH-0006,pair_hypothesis,hypothesis_strong,B,zel028_a549,bb1=BB_8741131108 & bb4=BB_9169702177,"bb1=BB_8741131108 & bb4=BB_9169702177: interaction-driven program up [HSP90AA1(+0.039), MT-CO1(+0.032), RPL12(+0.030)]; z=13.3 vs permutation refits; bb-effect-atlas agreement cos=0.90; driver family recurs in >=2 contexts","z_perm=13.3, composite=25.3, n=64, cos_bb_effect_atlas=0.896; null: label-permutation refits",,,singleton,25.3
ZSH-0007,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_0326377388 & bb1=BB_6601289516,"bb0=BB_0326377388 & bb1=BB_6601289516: interaction-driven program up [MT-CO3(+0.066), MT-CO2(+0.057), MT-CO1(+0.054)]; z=14.0 vs permutation refits; bb-effect-atlas agreement cos=0.53; driver family recurs in >=2 contexts","z_perm=14.0, composite=21.5, n=166, cos_bb_effect_atlas=0.53; null: label-permutation refits",,,none,21.5
ZSH-0008,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_1174006333 & bb1=BB_9483475878,"bb0=BB_1174006333 & bb1=BB_9483475878: interaction-driven program up [MT-CO3(+0.064), MT-CO1(+0.053), MT-CO2(+0.050)]; z=10.8 vs permutation refits; bb-effect-atlas agreement cos=0.92; driver family recurs in >=2 contexts","z_perm=10.8, composite=20.7, n=166, cos_bb_effect_atlas=0.918; null: label-permutation refits",,,none,20.7
ZSH-0009,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb2=BB_5290020531 & bb3=BB_8759755490,"bb2=BB_5290020531 & bb3=BB_8759755490: interaction-driven program up [HSPA5(+0.033), MT-CO3(+0.033), XBP1(+0.031)]; z=12.9 vs permutation refits; bb-effect-atlas agreement cos=0.60; driver family recurs in >=2 contexts","z_perm=12.9, composite=20.6, n=84, cos_bb_effect_atlas=0.601; null: label-permutation refits",,,none,20.6
ZSH-0010,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_0175183327 & bb1=BB_4347926671,"bb0=BB_0175183327 & bb1=BB_4347926671: interaction-driven program up [MT-CYB(+0.065), LINC00486(+0.064), MT-CO3(+0.064)]; z=10.1 vs permutation refits; bb-effect-atlas agreement cos=0.87; driver family recurs in >=2 contexts","z_perm=10.1, composite=18.8, n=166, cos_bb_effect_atlas=0.87; null: label-permutation refits",,,none,18.8
ZSH-0011,pair_hypothesis,hypothesis_strong,B,zel039_aec7,bb0=BB_2085420374 & bb1=BB_0164651813,"bb0=BB_2085420374 & bb1=BB_0164651813: interaction-driven program up [HSP90AA1(+0.055), HSPH1(+0.051), DNAJB1(+0.051)]; z=9.3 vs permutation refits; bb-effect-atlas agreement cos=0.82; driver family recurs in >=2 contexts","z_perm=9.3, composite=16.9, n=51, cos_bb_effect_atlas=0.823; null: label-permutation refits",,,none,16.9
ZSH-0012,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_1174006333 & bb1=BB_6601289516,"bb0=BB_1174006333 & bb1=BB_6601289516: interaction-driven program up [MT-CYB(+0.063), MT-CO3(+0.061), MT-CO1(+0.058)]; z=9.1 vs permutation refits; bb-effect-atlas agreement cos=0.85; driver family recurs in >=2 contexts","z_perm=9.1, composite=16.9, n=166, cos_bb_effect_atlas=0.85; null: label-permutation refits",,,none,16.9
ZSH-0013,pair_hypothesis,hypothesis_strong,B,zel028_a549,bb1=BB_3993285124 & bb4=BB_9279669837,"bb1=BB_3993285124 & bb4=BB_9279669837: interaction-driven program up [RPL29(+0.023), KRT18(+0.022), IGFBP1(+0.020)]; z=8.3 vs permutation refits; bb-effect-atlas agreement cos=0.89; driver family recurs in >=2 contexts","z_perm=8.3, composite=15.7, n=57, cos_bb_effect_atlas=0.886; null: label-permutation refits",,,singleton,15.7
ZSH-0014,pair_hypothesis,hypothesis_strong,B,zel024_hek293,bb0=BB_0078506578 & bb1=BB_9483475878,"bb0=BB_0078506578 & bb1=BB_9483475878: interaction-driven program up [MT-CO3(+0.057), MT-CYB(+0.048), MT-CO2(+0.045)]; z=7.6 vs permutation refits; bb-effect-atlas agreement cos=0.84; driver family recurs in >=2 contexts","z_perm=7.6, composite=13.9, n=165, cos_bb_effect_atlas=0.837; null: label-permutation refits",,,none,13.9
ZSH-0015,pair_hypothesis,hypothesis_strong,B,zel039_aec7,bb0=BB_2371372935 & bb1=BB_4348936015,"bb0=BB_2371372935 & bb1=BB_4348936015: interaction-driven program up [IGFBP1(+0.062), TUBB(+0.038), KLF6(+0.036)]; z=6.7 vs permutation refits; bb-effect-atlas agreement cos=0.85; driver family recurs in >=2 contexts","z_perm=6.7, composite=12.4, n=52, cos_bb_effect_atlas=0.85; null: label-permutation refits",,,none,12.4
ZSH-0016,pair_hypothesis,hypothesis_strong,B,zel028_a549,bb1=BB_1998211288 & bb3=BB_0822728753,"bb1=BB_1998211288 & bb3=BB_0822728753: interaction-driven program up [MT-CO1(+0.020), MT-CO2(+0.017), MT-CO3(+0.015)]; z=5.7 vs permutation refits; bb-effect-atlas agreement cos=0.96; driver family recurs in >=2 contexts","z_perm=5.7, composite=11.2, n=25, cos_bb_effect_atlas=0.955; null: label-permutation refits",,,singleton,11.2
ZSH-0017,pair_hypothesis,hypothesis_strong,B,zel039_aec7,bb0=BB_2315583918 & bb1=BB_1030418220,"bb0=BB_2315583918 & bb1=BB_1030418220: interaction-driven program up [HSP90AA1(+0.055), HSP90AB1(+0.049), HSP90B1(+0.047)]; z=5.7 vs permutation refits; bb-effect-atlas agreement cos=0.87; driver family recurs in >=2 contexts","z_perm=5.7, composite=10.8, n=53, cos_bb_effect_atlas=0.874; null: label-permutation refits",,,none,10.8
ZSH-0018,pair_hypothesis,hypothesis_strong,B,zel028_a549,bb1=BB_8003855586 & bb4=BB_1323947790,"bb1=BB_8003855586 & bb4=BB_1323947790: interaction-driven program up [IGFBP1(+0.040), RPL22L1(+0.026), AGR2(+0.020)]; z=4.3 vs permutation refits; bb-effect-atlas agreement cos=0.93; driver family recurs in >=2 contexts","z_perm=4.3, composite=8.4, n=40, cos_bb_effect_atlas=0.932; null: label-permutation refits",,,singleton,8.4
ZSH-0019,pair_hypothesis,hypothesis_strong,B,zel039_aec7,bb0=BB_0302650651 & bb1=BB_1599289689,"bb0=BB_0302650651 & bb1=BB_1599289689: interaction-driven program up [MT-RNR2(+0.043), HSPD1(+0.041), HSPA8(+0.038)]; z=5.1 vs permutation refits; bb-effect-atlas agreement cos=0.64; driver family recurs in >=2 contexts","z_perm=5.1, composite=8.3, n=53, cos_bb_effect_atlas=0.637; null: label-permutation refits",,,none,8.3
ZSH-0020,pair_hypothesis,hypothesis_strong,B,zel028_hek293,bb1=BB_1184847906 & bb4=BB_9279669837,"bb1=BB_1184847906 & bb4=BB_9279669837: interaction-driven program up [GABARAP(+0.015), MT-CO1(+0.015), PDCD5(+0.013)]; z=4.2 vs permutation refits; bb-effect-atlas agreement cos=0.94; driver family recurs in >=2 contexts","z_perm=4.2, composite=8.1, n=34, cos_bb_effect_atlas=0.94; null: label-permutation refits",,,singleton,8.1
ZSH-0021,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb0=BB_1722497045,"bb0=BB_1722497045 mimics BMS-509744 (Unknown Other) - rank-1 control match, cos 0.649","cos=0.649, p=0.000 vs 200-draw gene-label-permutation null",BMS-509744,Unknown_Other,weak_null,0.6491132213656148
ZSH-0022,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb3=BB_8150738125,"bb3=BB_8150738125 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.636","cos=0.636, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.6362262014831811
