program_group_id,context,primary_program,n_programs_merged,member_programs,theme_family,named_theme,top_genes,top_gene_sets,driving_bb_levels,n_bb_levels_q05,anchor_control,anchor_top3_controls,crispr_ko_links,member_compounds_usageZ_ge1,mean_abs_usage,frac_deep_top500,library_frac_deep,depth_tier_skew_flag,ica_median_abs_cos,confidence_tier,focus_experiment
ZEL024-G01,zel024_hek293,P1,21,P1;P3;P5;P6;P8;P9;P10;P12;P15;P16;P17;P18;P21;P22;P23;P24;P25;P26;P27;P29;P32,Myc/E2F proliferation,MSigDB_Hallmark_2020:Myc Targets V1,"XIST,PRKDC,MALAT1,CANX,NUCKS1,EIF3A,NAP1L1,CSDE1",MSigDB_Hallmark_2020:Myc Targets V1(q=7.3e-05); MSigDB_Hallmark_2020:E2F Targets(q=4.9e-04),bb1:BB_8873714086[pos](q=4.9e-174); bb1:BB_6601289516[neg](q=5.6e-97),40,HTH-01-015(z=+2.29),HTH-01-015(+2.3); KME-2780(+2.3); sorafenib(+1.9),CDK6(pathway |z|~12); CDK9(pathway |z|~7); EIF2AK4(pathway |z|~12); SETD7-KO mimic scaffold (zel024 tiered SAR),2454,4.8407979011535645,0.648,0.3145752479517033,True,0.9256318807601928,measured-anchored,Cell-cycle cytometry + E2F reporter on top-usage compounds
ZEL024-G02,zel024_hek293,P2,1,P2,translation/ribosome,Reactome_2022:SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,"MT-CO3,MT-CO2,MT-CYB,XIST,TMBIM6,GAS5,MT-CO1,CANX",Reactome_2022:SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339(q=6.6e-13); Reactome_2022:Eukaryotic Translation Elongation R-HSA-156842(q=1.1e-11),bb1:BB_4347926671[pos](q=3.1e-103); bb2:BB_5290020531[pos](q=1.9e-75),32,sorafenib(z=-2.66),sorafenib(-2.7); HTH-01-015(-2.2); GCN2-IN-7(+1.8),PIK3CA/JAK2/PTPN11/CDK6 mimic scaffold (zel024 tiered SAR),2219,1.6041052341461182,0.244,0.3145752479517033,False,0.6415933966636658,grammar-level,Puromycin incorporation (SUnSET) on carrier vs non-carrier compounds
ZEL024-G03,zel024_hek293,P4,1,P4,HSF1/heat-shock,MSigDB_Hallmark_2020:Myc Targets V1,"XIST,JUN,HSPA1B,SOX4,FP236383.3,ACTB,DNAJB1,HSP90AB1",MSigDB_Hallmark_2020:Myc Targets V1(q=4.5e-06); Reactome_2022:Attenuation Phase R-HSA-3371568(q=6.4e-05),bb1:BB_4347926671[neg](q=3.7e-95); bb0:BB_4932061249[pos](q=3.0e-76),35,CP-673451(z=+2.61),CP-673451(+2.6); XL019(+2.4); sorafenib(+2.2),CDK6(pathway |z|~12); METTL3(pathway |z|~12); PIK3CA/JAK2/PTPN11/CDK6 mimic scaffold (zel024 tiered SAR),2246,1.285075545310974,0.284,0.3145752479517033,False,0.5443904995918274,grammar-level,HSF1 reporter / HSPA1A qPCR on carrier compounds vs position-matched non-carriers
ZEL024-G04,zel024_hek293,P7,1,P7,RNA processing/splicing,MSigDB_Hallmark_2020:Unfolded Protein Response,"FP236383.3,MALAT1,FUS,NCL,NONO,CANX,APP,HNRNPU",MSigDB_Hallmark_2020:Unfolded Protein Response(q=2.4e-03); KEGG_2021_Human:Protein processing in endoplasmic reticulum(q=3.3e-03),bb3:BB_5008846823[pos](q=7.8e-251); bb3:BB_0896893626[pos](q=2.1e-183),27,sorafenib(z=+2.91),sorafenib(+2.9); GCN2-IN-7(-2.5); CP-673451(+2.2),CDK6(pathway |z|~12); CDK7(pathway |z|~13); CDK9(pathway |z|~7),2165,0.7918349504470825,0.314,0.3145752479517033,False,0.5884818434715271,grammar-level,m6A quantification / splicing reporter on carrier compounds
ZEL024-G05,zel024_hek293,P11,1,P11,translation/ribosome,Reactome_2022:Selenocysteine Synthesis R-HSA-2408557,"RPS29,UBA52,RPL37,XIST,COX7C,TMA7,RPL38,FAU",Reactome_2022:Selenocysteine Synthesis R-HSA-2408557(q=3.1e-22); Reactome_2022:Peptide Chain Elongation R-HSA-156902(q=3.1e-22),bb3:BB_4111522701[pos](q=2.5e-254); bb3:BB_9543364413[neg](q=5.2e-219),25,GCN2-IN-7(z=+3.35),GCN2-IN-7(+3.3); N-deshydroxyethyl dasatinib(+2.6); CP-673451(+1.7),,1766,0.6150762438774109,0.142,0.3145752479517033,True,0.662276029586792,grammar-level,Puromycin incorporation (SUnSET) on carrier vs non-carrier compounds
ZEL024-G06,zel024_hek293,P13,1,P13,mito/OXPHOS (KEGG disease sets),KEGG_2021_Human:Prion disease,"HSPA1B,PLS3,HNRNPA2B1,FP236383.3,GAS5,FAU,DNAJA1,CCT6A",KEGG_2021_Human:Prion disease(q=3.2e-05); KEGG_2021_Human:Parkinson disease(q=8.0e-05),bb3:BB_7431615886[neg](q=2.4e-251); bb3:BB_7055283758[neg](q=2.6e-216),30,GCN2-IN-7(z=+3.21),GCN2-IN-7(+3.2); sorafenib(-2.7); HTH-01-015(-1.7),,2140,0.5878821611404419,0.04,0.3145752479517033,True,0.9495601654052734,grammar-level,Seahorse OCR on carrier vs non-carrier compounds
ZEL024-G07,zel024_hek293,P14,1,P14,immune/interferon,Reactome_2022:ER-Phagosome Pathway R-HSA-1236974,"FP236383.3,CD81,SLC3A2,TMED9,PDIA3,TMBIM6,ERGIC3,PLS3",Reactome_2022:ER-Phagosome Pathway R-HSA-1236974(q=2.4e-02); Reactome_2022:Antigen processing-Cross Presentation R-HSA-1236975(q=2.7e-02),bb3:BB_9507842734[neg](q=2.7e-223); bb3:BB_6210856258[pos](q=3.7e-80),33,STC-15(z=-2.82),STC-15(-2.8); CP-673451(-2.8); STM2457(-1.6),CDK6(pathway |z|~12); CDK7(pathway |z|~13); CDK9(pathway |z|~7),2265,0.5816797018051147,0.258,0.3145752479517033,False,0.5341215133666992,measured-anchored,IFN-stimulated-gene qPCR panel on top-usage compounds
ZEL024-G08,zel024_hek293,P19,1,P19,Myc/E2F proliferation,MSigDB_Hallmark_2020:Myc Targets V1,"HNRNPU,NCL,HSP90AA1,H3F3B,HSPA5,PKM,HNRNPH1,UBA52",MSigDB_Hallmark_2020:Myc Targets V1(q=2.0e-07); Reactome_2022:SARS-CoV-2 Infection R-HSA-9694516(q=8.2e-04),bb3:BB_9049784573[neg](q=6.4e-207); bb3:BB_4281749019[pos](q=1.7e-129),26,SMARCA ligand 1(z=+2.84),SMARCA ligand 1(+2.8); AZD-3463(-1.8); STM2457(+1.8),CDK6(pathway |z|~12); CDK9(pathway |z|~7); EIF2AK4(pathway |z|~12),2071,0.5476741194725037,0.286,0.3145752479517033,False,0.8113442063331604,grammar-level,Cell-cycle cytometry + E2F reporter on top-usage compounds
ZEL024-G09,zel024_hek293,P20,1,P20,mito/OXPHOS (KEGG disease sets),KEGG_2021_Human:Protein processing in endoplasmic reticulum,"CD81,MT-CO3,UBXN1,CANX,SF3B1,APP,SNRNP70,PLS3","KEGG_2021_Human:Protein processing in endoplasmic reticulum(q=7.5e-06); Reactome_2022:Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170(q=1.1e-02)",bb3:BB_8380388218[neg](q=3.4e-191); bb3:BB_2459734371[neg](q=9.2e-126),27,STC-15(z=-3.31),STC-15(-3.3); STM2457(-2.6); CP-673451(-1.5),,2030,0.5423824787139893,0.292,0.3145752479517033,False,0.747143566608429,measured-anchored,Seahorse OCR on carrier vs non-carrier compounds
ZEL024-G10,zel024_hek293,P28,1,P28,mito/OXPHOS (KEGG disease sets),KEGG_2021_Human:Prion disease,"SF3B1,EEF2,UBXN1,FUS,YBX1,MYL6,FP236383.3,COX7C",KEGG_2021_Human:Prion disease(q=3.2e-05); KEGG_2021_Human:Cardiac muscle contraction(q=7.3e-05),bb3:BB_9760256516[pos](q=2.5e-254); bb3:BB_0896893626[neg](q=1.1e-234),22,GCN2-IN-7(z=+2.72),GCN2-IN-7(+2.7); CP-673451(-2.3); HTH-01-015(-1.7),,1916,0.4816989302635193,0.184,0.3145752479517033,False,0.8329049348831177,grammar-level,Seahorse OCR on carrier vs non-carrier compounds
