candidate_id,context,candidate_kind,n_members,within_phenotype_coherence,coherence_null_z,coherence_permutation_p,falloff_null_percentile,chemistry_within,ring1_similarity,driver_genes,evidence_tier,selection_note
bb0=BB_2085420374 & bb1=BB_5422857344,zel039_aec7,two_position_series,52,0.6013,2.371,0.0012038523274478,0.02,0.9739,0.4859,"HSP90AA1(+0.8364),HSPA1A(+0.8020),HSPD1(+0.7665),HSPH1(+0.7607),UBB(+0.7472),DNAJB1(+0.7416),UBC(+0.6664),HSP90AB1(+0.6645),DNAJA1(+0.6510),HSPB1(+0.6106),HSPA1B(+0.6065),HSPA8(+0.5864),HSPA6(+0.5019),CRYAB(+0.4706),HSPE1(+0.3749)",elite_sharp_sar,positive_control_calibration
bb0=BB_8506073726 & bb1=BB_5422857344,zel039_aec7,two_position_series,51,0.552,2.115,0.0016911258885576,0.03,0.9747,0.4668,"HSP90AA1(+0.5906),HSP90AB1(+0.5087),HSPH1(+0.5021),HSPD1(+0.5013),UBB(+0.4971),DNAJB1(+0.4634),HSPB1(+0.4590),DNAJA1(+0.4571),UBC(+0.4516),HSPA8(+0.4399),HSPA1A(+0.4278),HSPA1B(+0.3467),RPL29(+0.2879),HSPE1(+0.2760),MT-RNR2(+0.2715)",elite_sharp_sar,composite_rank_2_of_900
bb0=BB_2371372935 & bb1=BB_5573240869,zel039_aec7,two_position_series,53,0.3998,1.325,0.0084269662921348,0.0,0.9763,0.5356,"IGFBP1(+0.2349),PTX3(+0.1698),TMSB10(+0.1647),DDIT3(+0.1608),HSPA5(+0.1467),FTH1(+0.1323),MYDGF(+0.1322),RPS28(+0.1254),OST4(+0.1245),HSP90B1(+0.1239),ANXA2(+0.1229),MT2A(+0.1208),LGALS3(+0.1173),MANF(+0.1171),B2M(+0.1154)",elite_sharp_sar,composite_rank_3_of_900
bb0=BB_2371372935 & bb1=BB_7747778414,zel039_aec7,two_position_series,53,0.3643,1.142,0.0110926393029121,0.04,0.9725,0.2275,"IGFBP1(+0.3140),MANF(+0.2664),HSP90B1(+0.1916),GAS5(+0.1822),PTX3(+0.1789),HSPA5(+0.1788),DDIT3(+0.1745),TMEM258(+0.1723),SERPINE1(+0.1721),CRIP2(+0.1706),COX7A2(+0.1664),MT2A(+0.1622),OSTC(+0.1622),B2M(+0.1586),PPIB(+0.1573)",elite_sharp_sar,composite_rank_4_of_900
bb0=BB_2085420374 & bb1=BB_7747778414,zel039_aec7,two_position_series,52,0.5821,2.271,0.0013758312313689,0.01,0.9734,0.565,"HSPA1A(+0.7631),HSP90AA1(+0.6994),DNAJB1(+0.6820),UBB(+0.6645),HSPH1(+0.6583),HSPD1(+0.6233),HSPA1B(+0.5948),DNAJA1(+0.5647),UBC(+0.5583),HSP90AB1(+0.5431),HSPB1(+0.5031),HSPA8(+0.4873),HSPA6(+0.4703),CRYAB(+0.4118),ZFAND2A(+0.3305)",elite_sharp_sar,positive_control_calibration
bb0=BB_8506073726 & bb1=BB_7747778414,zel039_aec7,two_position_series,52,0.4185,1.423,0.0068791561568447,0.0,0.9726,0.4075,"HSP90AA1(+0.4752),DNAJB1(+0.4126),UBB(+0.4063),HSPH1(+0.4010),HSPA1A(+0.3927),HSP90AB1(+0.3899),DNAJA1(+0.3815),HSPD1(+0.3474),HSPA1B(+0.3440),HSPB1(+0.3425),UBC(+0.3409),HSPA8(+0.3262),MT-RNR2(+0.2587),HSPA6(+0.2077),RPL39(+0.2022)",elite_sharp_sar,composite_rank_6_of_900
bb0=BB_2371372935 & bb1=BB_5540590266,zel039_aec7,two_position_series,51,0.7153,2.962,0.0004012841091492,0.02,0.9698,0.4184,"IGFBP1(+0.2090),ZFAND2A(+0.2073),RPS14(+0.1499),SAT1(+0.1466),RPL35A(+0.1460),HSPA6(+0.1334),CRYAB(+0.1229),HSPA1A(+0.1218),RPL27(+0.1141),HSPE1(+0.1067),UBB(+0.1058),RPL19(+0.1050),DNAJB1(+0.1021),SELENOK(+0.1013),FTL(+0.0965)",elite_sharp_sar,composite_rank_7_of_900
bb0=BB_6699958170 & bb1=BB_5573240869,zel039_aec7,two_position_series,53,0.4758,1.72,0.0040128410914927,0.02,0.9724,0.5208,"IGFBP1(+0.3197),CD9(+0.2654),POLR2L(+0.2363),S100A10(+0.2313),ATP5ME(+0.2256),TMSB10(+0.2226),GNG11(+0.2202),TM4SF1(+0.2164),RPS27(+0.2115),PPIA(+0.2061),S100A6(+0.2042),B2M(+0.1998),RPL37A(+0.1967),RPL38(+0.1882),TMSB4X(+0.1835)",elite_sharp_sar,composite_rank_8_of_900
bb0=BB_0302650651 & bb1=BB_5573240869,zel039_aec7,two_position_series,53,0.4564,1.619,0.0047867461591378,0.0,0.9749,0.5538,"GNG11(+0.3285),CD9(+0.2859),GPX1(+0.2374),TMSB4X(+0.2163),TM4SF1(+0.2097),S100A6(+0.1977),S100A10(+0.1958),PECAM1(+0.1900),CD59(+0.1841),TMSB10(+0.1840),IGFBP7(+0.1752),POLR2L(+0.1703),B2M(+0.1686),DBI(+0.1649),CD63(+0.1630)",elite_sharp_sar,composite_rank_9_of_900
bb0=BB_0302650651 & bb1=BB_7747778414,zel039_aec7,two_position_series,53,0.4504,1.588,0.00513070396698,0.02,0.9707,0.3076,"GNG11(+0.3853),PECAM1(+0.3328),CD9(+0.3195),TM4SF1(+0.2644),CD59(+0.2572),GPX1(+0.2317),S100A6(+0.2201),B2M(+0.2199),CRIP2(+0.2190),POLR2L(+0.2171),S100A10(+0.2095),TMSB4X(+0.2064),PGF(+0.1981),ICAM2(+0.1912),LAMA4(+0.1869)",elite_sharp_sar,composite_rank_10_of_900
