context,split_seed,n_acquisition_batches,n_subsets,mean_median_gene_pearson,min_median_gene_pearson,max_median_gene_pearson,mean_median_program_pearson,min_median_program_pearson,max_median_program_pearson
zic008_a549,20260915,1,5,0.3772252164781693,0.27469314342344675,0.5167051808692206,0.5797293288728762,0.4618668333948795,0.881909619298588
zic008_a549,20260915,2,10,0.4655362433279615,0.37038787466401174,0.595402029092833,0.6811007488745259,0.5332392235168527,0.8253999908574741
zic008_a549,20260915,3,10,0.5078626070424457,0.412672884238378,0.5977064581790476,0.7059901908244013,0.6080278663320138,0.79461447124022
zic008_a549,20260915,4,5,0.5312655419439569,0.4636323723761232,0.5629954993181829,0.7095009711286867,0.6205974089855466,0.7581442700028649
zic008_a549,20260915,5,1,0.5465560596436192,0.5465560596436192,0.5465560596436192,0.712063546661994,0.712063546661994,0.712063546661994
zic008_a549,20260916,1,5,0.42861949567764573,0.3254202182143819,0.5705186178702827,0.6573814520648211,0.5061653097764603,0.8756363368127875
zic008_a549,20260916,2,10,0.5483111711289774,0.4475150990787319,0.6597409162290991,0.7954092340338279,0.6734591439137672,0.8968979801162696
zic008_a549,20260916,3,10,0.6076346252044551,0.516507194614842,0.7024321729617451,0.8390460671482634,0.7301797103473116,0.913761615803451
zic008_a549,20260916,4,5,0.6509146762610045,0.5629553846673698,0.6985863100684128,0.8627739631167881,0.8010748834228383,0.9013523083799861
zic008_a549,20260916,5,1,0.6680755723530956,0.6680755723530956,0.6680755723530956,0.876337120727592,0.876337120727592,0.876337120727592
zic008_a549,20260917,1,5,0.4616576783393903,0.3940233110397757,0.5904159169120153,0.7087817710210843,0.6267972115910418,0.8280654561133954
zic008_a549,20260917,2,10,0.5894026834580159,0.5202606780711153,0.677258953603301,0.8376348524823202,0.7625183846451647,0.893920077514931
zic008_a549,20260917,3,10,0.6603527517233089,0.6029115854731059,0.7366265086719767,0.885521769735168,0.8464953370497638,0.9217508529751147
zic008_a549,20260917,4,5,0.7079917643238159,0.6807672325357087,0.7413796339810337,0.9136193123075351,0.8810189817173846,0.9263563075900829
zic008_a549,20260917,5,1,0.7322180714263876,0.7322180714263876,0.7322180714263876,0.9257881076517521,0.9257881076517521,0.9257881076517521
zic008_a549,20260918,1,5,0.4345369798785099,0.35367476443277995,0.49509795546732144,0.6843637502823652,0.6216281965008515,0.7757692277746374
zic008_a549,20260918,2,10,0.5153121416145235,0.43688202523776604,0.5774402592049668,0.7607905812130467,0.6789244706089197,0.8150083486403521
zic008_a549,20260918,3,10,0.5610232924076911,0.48405818042599436,0.6215455853937866,0.7808492593792355,0.7045623594025267,0.834233266766287
zic008_a549,20260918,4,5,0.5874799596133503,0.5590088357293199,0.6083070311668928,0.7955750953541285,0.7633017838965841,0.8275222485384256
zic008_a549,20260918,5,1,0.6106989334820864,0.6106989334820864,0.6106989334820864,0.8107347868445114,0.8107347868445114,0.8107347868445114
zic008_a549,20260919,1,5,0.4023091893699255,0.20457380658211305,0.5403682597010189,0.6373720425275573,0.3171194649164743,0.816073448416311
zic008_a549,20260919,2,10,0.5229265578520503,0.3082614519786161,0.651847422199643,0.7413723268823057,0.4364761495043321,0.8987222723637521
zic008_a549,20260919,3,10,0.5875261439582256,0.4674817712767673,0.6771766949721557,0.7935857960001063,0.6167552826777271,0.9049285558556234
zic008_a549,20260919,4,5,0.631889693759674,0.5673472643246257,0.7000738888490531,0.8217586845298017,0.7543443672203205,0.8957093871903351
zic008_a549,20260919,5,1,0.6865251527840367,0.6865251527840367,0.6865251527840367,0.843091269013244,0.843091269013244,0.843091269013244
zic008_a549,20260920,1,5,0.3693715239103597,0.18059211136662942,0.4781904547311758,0.5791725212609704,0.3346270264490474,0.7197340165153698
zic008_a549,20260920,2,10,0.47736130269328275,0.28300359796962243,0.5738844507132072,0.6900770183204402,0.44429542197090427,0.8314802049701987
zic008_a549,20260920,3,10,0.5358204111309502,0.42881901951291734,0.6221627376878757,0.7393102004270986,0.6064884714347117,0.8302943177661125
zic008_a549,20260920,4,5,0.5784046934746662,0.5299708764302403,0.6474452809400515,0.7582637058772022,0.7028738954038755,0.8192119497613299
zic008_a549,20260920,5,1,0.6044236769047292,0.6044236769047292,0.6044236769047292,0.778399357964468,0.778399357964468,0.778399357964468
zic008_a549,20260921,1,5,0.427248872073464,0.3755117178193104,0.4813159272787305,0.6805935444610149,0.6327280641854152,0.725062545207077
zic008_a549,20260921,2,10,0.5309784094273826,0.4690638924797358,0.6294782251617952,0.7606239475782572,0.6563602509520926,0.8419536324202315
zic008_a549,20260921,3,10,0.5860649110272675,0.5259641602806059,0.6427646623061436,0.7885399303113563,0.6829030827092909,0.8488273915902348
zic008_a549,20260921,4,5,0.607692884531604,0.5760142424827255,0.6279526182453707,0.8041513715164269,0.7589806326230014,0.8249129627523848
zic008_a549,20260921,5,1,0.6334223217690221,0.6334223217690221,0.6334223217690221,0.8113449936250835,0.8113449936250835,0.8113449936250835
zic008_a549,20260922,1,5,0.44458722686989927,0.35015372866539285,0.5460902784961019,0.6642300446292737,0.514428377427994,0.7616531913806832
zic008_a549,20260922,2,10,0.5637839293111573,0.5288711598898089,0.61824799753329,0.7878980127596776,0.7035366300515724,0.8428929418787036
zic008_a549,20260922,3,10,0.6275932718069658,0.5980057337897521,0.6679166912085819,0.8379980548211234,0.7890377402395395,0.8878190214289196
zic008_a549,20260922,4,5,0.664649624948815,0.639557094696399,0.6806476211597386,0.8658655271607065,0.8432058970923892,0.8999643547406492
zic008_a549,20260922,5,1,0.6902635147601885,0.6902635147601885,0.6902635147601885,0.8754562444037167,0.8754562444037167,0.8754562444037167
zic008_a549,20260923,1,5,0.46682373388317144,0.40801732636054155,0.5655170618060957,0.733325776266334,0.6267813615707886,0.8299123060507488
zic008_a549,20260923,2,10,0.5870491038065526,0.521078755593895,0.6770778491675372,0.8456420826958253,0.7903046178161757,0.9070572126312068
zic008_a549,20260923,3,10,0.6599051001938653,0.6016549053868133,0.7199514419097114,0.885965999195234,0.8592377225258038,0.9231152991608605
zic008_a549,20260923,4,5,0.7062741078039649,0.6805089515460309,0.7339801652941056,0.9076224266320099,0.8954586349515251,0.9255876447448318
zic008_a549,20260923,5,1,0.7279313383540492,0.7279313383540492,0.7279313383540492,0.9231465173141633,0.9231465173141633,0.9231465173141633
zic008_a549,20260924,1,5,0.42861949567764573,0.3254202182143819,0.5705186178702827,0.6573814520648211,0.5061653097764603,0.8756363368127875
zic008_a549,20260924,2,10,0.5483111711289774,0.4475150990787319,0.6597409162290991,0.7954092340338278,0.6734591439137672,0.8968979801162695
zic008_a549,20260924,3,10,0.6076346252044551,0.516507194614842,0.7024321729617451,0.8390460671482634,0.7301797103473116,0.913761615803451
zic008_a549,20260924,4,5,0.6509146762610045,0.5629553846673698,0.6985863100684128,0.8627739631167881,0.8010748834228383,0.901352308379986
zic008_a549,20260924,5,1,0.6680755723530956,0.6680755723530956,0.6680755723530956,0.8763371207275917,0.8763371207275917,0.8763371207275917
zic008_a549,20260925,1,5,0.4496448254701971,0.38966684201516844,0.5101962383243711,0.7019430854235276,0.6122334020151483,0.8065243753636961
zic008_a549,20260925,2,10,0.5673109674559804,0.4984657026537435,0.6450998587332388,0.8121186455400142,0.7026897033723313,0.9139476314193835
zic008_a549,20260925,3,10,0.6388696008517963,0.5657965456535251,0.7024343056585981,0.8709790889017427,0.7733490765164275,0.9193711065756063
zic008_a549,20260925,4,5,0.6947936018017267,0.6471782175528186,0.7280006309329401,0.902037572214142,0.8577752842846664,0.9176217381203392
zic008_a549,20260925,5,1,0.7302918137287726,0.7302918137287726,0.7302918137287726,0.928713770149394,0.928713770149394,0.928713770149394
