context,split_seed,batch_id,role
zic008_a549,20260915,batch_01,held_out
zic008_a549,20260915,batch_02,held_out
zic008_a549,20260915,batch_03,acquisition
zic008_a549,20260915,batch_04,held_out
zic008_a549,20260915,batch_05,held_out
zic008_a549,20260915,batch_06,held_out
zic008_a549,20260915,batch_07,acquisition
zic008_a549,20260915,batch_08,acquisition
zic008_a549,20260915,batch_09,acquisition
zic008_a549,20260915,batch_10,acquisition
zic008_a549,20260916,batch_01,acquisition
zic008_a549,20260916,batch_02,held_out
zic008_a549,20260916,batch_03,held_out
zic008_a549,20260916,batch_04,held_out
zic008_a549,20260916,batch_05,acquisition
zic008_a549,20260916,batch_06,held_out
zic008_a549,20260916,batch_07,held_out
zic008_a549,20260916,batch_08,acquisition
zic008_a549,20260916,batch_09,acquisition
zic008_a549,20260916,batch_10,acquisition
zic008_a549,20260917,batch_01,acquisition
zic008_a549,20260917,batch_02,acquisition
zic008_a549,20260917,batch_03,held_out
zic008_a549,20260917,batch_04,held_out
zic008_a549,20260917,batch_05,acquisition
zic008_a549,20260917,batch_06,held_out
zic008_a549,20260917,batch_07,held_out
zic008_a549,20260917,batch_08,acquisition
zic008_a549,20260917,batch_09,acquisition
zic008_a549,20260917,batch_10,held_out
zic008_a549,20260918,batch_01,acquisition
zic008_a549,20260918,batch_02,acquisition
zic008_a549,20260918,batch_03,held_out
zic008_a549,20260918,batch_04,acquisition
zic008_a549,20260918,batch_05,held_out
zic008_a549,20260918,batch_06,held_out
zic008_a549,20260918,batch_07,held_out
zic008_a549,20260918,batch_08,acquisition
zic008_a549,20260918,batch_09,held_out
zic008_a549,20260918,batch_10,acquisition
zic008_a549,20260919,batch_01,held_out
zic008_a549,20260919,batch_02,held_out
zic008_a549,20260919,batch_03,acquisition
zic008_a549,20260919,batch_04,acquisition
zic008_a549,20260919,batch_05,acquisition
zic008_a549,20260919,batch_06,acquisition
zic008_a549,20260919,batch_07,held_out
zic008_a549,20260919,batch_08,held_out
zic008_a549,20260919,batch_09,held_out
zic008_a549,20260919,batch_10,acquisition
zic008_a549,20260920,batch_01,held_out
zic008_a549,20260920,batch_02,acquisition
zic008_a549,20260920,batch_03,held_out
zic008_a549,20260920,batch_04,held_out
zic008_a549,20260920,batch_05,acquisition
zic008_a549,20260920,batch_06,acquisition
zic008_a549,20260920,batch_07,acquisition
zic008_a549,20260920,batch_08,held_out
zic008_a549,20260920,batch_09,held_out
zic008_a549,20260920,batch_10,acquisition
zic008_a549,20260921,batch_01,acquisition
zic008_a549,20260921,batch_02,held_out
zic008_a549,20260921,batch_03,acquisition
zic008_a549,20260921,batch_04,acquisition
zic008_a549,20260921,batch_05,held_out
zic008_a549,20260921,batch_06,held_out
zic008_a549,20260921,batch_07,held_out
zic008_a549,20260921,batch_08,held_out
zic008_a549,20260921,batch_09,acquisition
zic008_a549,20260921,batch_10,acquisition
zic008_a549,20260922,batch_01,acquisition
zic008_a549,20260922,batch_02,held_out
zic008_a549,20260922,batch_03,held_out
zic008_a549,20260922,batch_04,acquisition
zic008_a549,20260922,batch_05,held_out
zic008_a549,20260922,batch_06,acquisition
zic008_a549,20260922,batch_07,acquisition
