train_size,replicate,arm,shuffle_index,sample_seed,permutation_seed,test_wells,strata,rna_coordinate,pearson,r2
350,0,exact_pair,-1,20295915,,2287,70,D00,0.010899565253277592,-0.2712678626635079
350,0,exact_pair,-1,20295915,,2287,70,D01,-0.0037743650542990895,-0.2456111744775622
350,0,exact_pair,-1,20295915,,2287,70,D02,-0.008762890056733494,-0.2603623605846985
350,0,exact_pair,-1,20295915,,2287,70,D03,0.04797833565015323,-0.12337301001984113
350,0,exact_pair,-1,20295915,,2287,70,D04,0.026647971623911918,-0.2909804279462176
350,0,exact_pair,-1,20295915,,2287,70,D05,0.2070508503586493,-0.10758322317700908
350,0,exact_pair,-1,20295915,,2287,70,D06,0.0394091043061654,-0.1554993136560514
350,0,exact_pair,-1,20295915,,2287,70,D07,0.02202187283718892,-0.26338438283597143
350,0,exact_pair,-1,20295915,,2287,70,D08,0.030891770036902706,-0.19991872167999047
350,0,exact_pair,-1,20295915,,2287,70,D09,0.013124512125727624,-0.22825070114702628
350,0,exact_pair,-1,20295915,,2287,70,D10,0.0353403842630966,-0.18953277328698004
350,0,exact_pair,-1,20295915,,2287,70,D11,-0.02268785425714315,-0.27956047843255094
350,0,exact_pair,-1,20295915,,2287,70,D12,-0.02366015867455818,-0.2311797969720144
350,0,exact_pair,-1,20295915,,2287,70,D13,0.07890273992488453,-0.1713101172246354
350,0,exact_pair,-1,20295915,,2287,70,D14,0.07149840240755845,-0.16291202164674257
350,0,exact_pair,-1,20295915,,2287,70,D15,-0.012913931530309822,-0.3293604761968294
350,0,exact_pair,-1,20295915,,2287,70,D16,0.009299923846841614,-0.2746054441492649
350,0,exact_pair,-1,20295915,,2287,70,D17,0.026379985495355314,-0.1701341827598737
350,0,exact_pair,-1,20295915,,2287,70,D18,0.10029619082615324,-0.15022880193464427
350,0,exact_pair,-1,20295915,,2287,70,D19,0.051844954703048354,-0.14305919265429123
350,0,exact_pair,-1,20295915,,2287,70,D20,-0.04873254880777394,-0.2755522563036106
350,0,exact_pair,-1,20295915,,2287,70,D21,0.10487945009883205,-0.21860523382553354
350,0,exact_pair,-1,20295915,,2287,70,D22,0.13079590361496476,-0.10751115000810296
350,0,exact_pair,-1,20295915,,2287,70,D23,0.027172329437303935,-0.2797421371854387
350,0,exact_pair,-1,20295915,,2287,70,D24,0.15899056070904474,-0.13710328963861285
350,0,exact_pair,-1,20295915,,2287,70,D25,0.1497236386612578,-0.19558601119103458
350,0,exact_pair,-1,20295915,,2287,70,D26,-0.033986029310874695,-0.3045508312507237
350,0,exact_pair,-1,20295915,,2287,70,D27,0.025530590221679608,-0.28700480114755345
350,0,exact_pair,-1,20295915,,2287,70,D28,0.040289916778507524,-0.1796846255056248
350,0,exact_pair,-1,20295915,,2287,70,D29,0.04068650264991753,-0.20009320959699184
350,0,exact_pair,-1,20295915,,2287,70,D30,0.059315032541089746,-0.22965095178949424
350,0,exact_pair,-1,20295915,,2287,70,D31,0.062396059423269146,-0.15366849358084744
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D00,0.0034787704658675914,-0.28375428645145373
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D01,0.02448030746623688,-0.19606879058821947
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D02,-0.02817444552673907,-0.2496342378875751
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D03,0.0768823254481494,-0.1861016514409224
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D04,-0.054680121204796456,-0.31359047023964504
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D05,-0.006611509936103674,-0.20964082557648722
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D06,-0.017635003638682693,-0.2763679717554681
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D07,-0.053695374460372515,-0.3523130090110509
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,D08,0.0007405685865816421,-0.23005500023892655
