train_size,replicate,arm,shuffle_index,sample_seed,permutation_seed,test_wells,strata,mean_pearson,mean_r2
350,0,exact_pair,-1,20295915,,2287,70,0.04427652406572154,-0.21302710795216473
350,0,within_control_batch_shuffle,0,20295915,21295915.0,2287,70,0.00815502421909543,-0.2263968488983139
350,0,within_control_batch_shuffle,1,20295915,21295916.0,2287,70,-0.0013597206669714252,-0.2515350486102338
350,0,within_control_batch_shuffle,2,20295915,21295917.0,2287,70,-0.011648008515174765,-0.2537334435150189
350,0,within_control_batch_shuffle,3,20295915,21295918.0,2287,70,0.01903620993821597,-0.2333173162311817
350,0,within_control_batch_shuffle,4,20295915,21295919.0,2287,70,0.005443849048527124,-0.23788253865765469
350,1,exact_pair,-1,20295916,,2287,70,0.04049889064098018,-0.23349590363981415
350,1,within_control_batch_shuffle,0,20295916,21295916.0,2287,70,-0.009045981742556122,-0.2480481797724035
350,1,within_control_batch_shuffle,1,20295916,21295917.0,2287,70,-0.00038403360280725267,-0.25861579459289774
350,1,within_control_batch_shuffle,2,20295916,21295918.0,2287,70,-0.004741033284313463,-0.2479374490968066
350,1,within_control_batch_shuffle,3,20295916,21295919.0,2287,70,-0.017586328313410567,-0.25899968245285954
350,1,within_control_batch_shuffle,4,20295916,21295920.0,2287,70,-0.016288634129904493,-0.2975168823826021
350,2,exact_pair,-1,20295917,,2287,70,0.051737734905503964,-0.20473664792624757
350,2,within_control_batch_shuffle,0,20295917,21295917.0,2287,70,-0.003659159588130583,-0.2369260481832504
350,2,within_control_batch_shuffle,1,20295917,21295918.0,2287,70,-0.003312976793860508,-0.2551959276905386
350,2,within_control_batch_shuffle,2,20295917,21295919.0,2287,70,0.006579223882777772,-0.23430378175251704
350,2,within_control_batch_shuffle,3,20295917,21295920.0,2287,70,-0.00736976702273998,-0.25160893742008733
350,2,within_control_batch_shuffle,4,20295917,21295921.0,2287,70,-0.010689457257809665,-0.265452273207594
1000,0,exact_pair,-1,20360915,,2287,70,0.07229085505937287,-0.09707375946188393
1000,0,within_control_batch_shuffle,0,20360915,21360915.0,2287,70,0.0032958672743011756,-0.1201275730131932
1000,0,within_control_batch_shuffle,1,20360915,21360916.0,2287,70,0.00023185551615486082,-0.12233524240144818
1000,0,within_control_batch_shuffle,2,20360915,21360917.0,2287,70,0.009381796637567278,-0.11674075373098042
1000,0,within_control_batch_shuffle,3,20360915,21360918.0,2287,70,0.0009042005311722187,-0.12433241580724898
1000,0,within_control_batch_shuffle,4,20360915,21360919.0,2287,70,-0.002529997942916555,-0.12530968144567378
1000,1,exact_pair,-1,20360916,,2287,70,0.08549714740791545,-0.08380571304210906
1000,1,within_control_batch_shuffle,0,20360916,21360916.0,2287,70,0.0025885689215232877,-0.11927029587126789
1000,1,within_control_batch_shuffle,1,20360916,21360917.0,2287,70,0.003825788748507153,-0.12386728115194252
1000,1,within_control_batch_shuffle,2,20360916,21360918.0,2287,70,0.0002292138267805065,-0.12431198252257551
1000,1,within_control_batch_shuffle,3,20360916,21360919.0,2287,70,-0.001910512258264374,-0.1239079552343536
1000,1,within_control_batch_shuffle,4,20360916,21360920.0,2287,70,0.0020100183459912345,-0.11952837377799906
1000,2,exact_pair,-1,20360917,,2287,70,0.07122205415632357,-0.08708303905827391
1000,2,within_control_batch_shuffle,0,20360917,21360917.0,2287,70,-0.006472498700463351,-0.13302581226642735
1000,2,within_control_batch_shuffle,1,20360917,21360918.0,2287,70,0.007175079240472182,-0.12010541136899697
1000,2,within_control_batch_shuffle,2,20360917,21360919.0,2287,70,0.0061081953924720985,-0.11906426714124105
1000,2,within_control_batch_shuffle,3,20360917,21360920.0,2287,70,0.008216363556704655,-0.1218216024811076
1000,2,within_control_batch_shuffle,4,20360917,21360921.0,2287,70,0.008717001568332359,-0.1294479299877136
3000,0,exact_pair,-1,20560915,,2287,70,0.10358326961653146,-0.02785910345366967
3000,0,within_control_batch_shuffle,0,20560915,21560915.0,2287,70,-0.0017417758450022553,-0.06221960872388348
3000,0,within_control_batch_shuffle,1,20560915,21560916.0,2287,70,-0.006039104191292152,-0.06284343493007982
3000,0,within_control_batch_shuffle,2,20560915,21560917.0,2287,70,0.003347607144940896,-0.06137123461097584
