train_size,replicate,batch_id,well_id,public_compound_id,control_name,sample_seed
350,0,batch_1,4348,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,11643,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,15093,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,16599,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,30279,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,30523,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,40623,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,43573,CPD_727697023490,AZD-3463,20295915
350,0,batch_1,5002,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,13136,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,14452,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,25233,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,26602,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,28281,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,31320,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,45225,CPD_097241972673,AZD-7624,20295915
350,0,batch_1,8654,CPD_168135774311,BAY-293,20295915
350,0,batch_1,20265,CPD_168135774311,BAY-293,20295915
350,0,batch_1,23395,CPD_168135774311,BAY-293,20295915
350,0,batch_1,25422,CPD_168135774311,BAY-293,20295915
350,0,batch_1,26713,CPD_168135774311,BAY-293,20295915
350,0,batch_1,28622,CPD_168135774311,BAY-293,20295915
350,0,batch_1,43801,CPD_168135774311,BAY-293,20295915
350,0,batch_1,18770,CPD_150752035598,BGT226,20295915
350,0,batch_1,22841,CPD_150752035598,BGT226,20295915
350,0,batch_1,27957,CPD_150752035598,BGT226,20295915
350,0,batch_1,40596,CPD_150752035598,BGT226,20295915
350,0,batch_1,2984,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,14654,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,15710,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,26408,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,27989,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,32554,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,37913,CPD_027984907598,BMS-509744,20295915
350,0,batch_1,4893,CPD_652873333040,CP-673451,20295915
350,0,batch_1,7787,CPD_652873333040,CP-673451,20295915
350,0,batch_1,15612,CPD_652873333040,CP-673451,20295915
350,0,batch_1,17047,CPD_652873333040,CP-673451,20295915
350,0,batch_1,20689,CPD_652873333040,CP-673451,20295915
350,0,batch_1,22920,CPD_652873333040,CP-673451,20295915
350,0,batch_1,24601,CPD_652873333040,CP-673451,20295915
350,0,batch_1,29721,CPD_652873333040,CP-673451,20295915
350,0,batch_1,7251,CPD_326167036106,Capmatinib,20295915
350,0,batch_1,21574,CPD_326167036106,Capmatinib,20295915
350,0,batch_1,28849,CPD_326167036106,Capmatinib,20295915
350,0,batch_1,37598,CPD_326167036106,Capmatinib,20295915
350,0,batch_1,7889,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,8268,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,9893,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,13753,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,27628,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,33059,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,38244,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,38626,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,46069,CPD_471264222636,Crizotinib,20295915
350,0,batch_1,8547,CPD_771491795323,GCN2-IN-7,20295915
350,0,batch_1,10100,CPD_771491795323,GCN2-IN-7,20295915
350,0,batch_1,14010,CPD_771491795323,GCN2-IN-7,20295915
