public_compound_id,control_name,target_gene,cells,p005,p001,hub005
CPD_014302469794,HTH-01-015,NUAK1,25,0,0,0
CPD_027984907598,BMS-509744,ITK,25,2,1,2
CPD_029002508615,SMARCA ligand 1,SMARCA2,30,1,1,1
CPD_029002508615,SMARCA ligand 1,SMARCA4,35,0,0,0
CPD_056284183052,fexagratinib,FGFR1,20,0,0,0
CPD_056284183052,fexagratinib,FGFR2,25,1,0,1
CPD_056284183052,fexagratinib,FGFR3,15,0,0,0
CPD_092985248962,MZ1,BRD4,10,0,0,0
CPD_097241972673,AZD-7624,MAPK14,120,6,3,3
CPD_104027493525,rucaparib,PARP1,30,1,0,0
CPD_144607136087,XL019,JAK2,60,1,0,2
CPD_150752035598,BGT226,MTOR,105,4,0,0
CPD_150752035598,BGT226,PIK3CA,150,5,0,0
CPD_167907273288,lapatinib,EGFR,10,0,0,0
CPD_167907273288,lapatinib,ERBB2,10,0,0,0
CPD_168135774311,BAY-293,SOS1,30,0,0,0
CPD_179756457827,palbociclib,CDK4,30,0,0,0
CPD_179756457827,palbociclib,CDK6,45,0,0,0
CPD_204680181321,ZF135/MRTX-1719,PRMT5,40,4,1,4
CPD_236412001094,ceritinib,ALK,10,0,0,0
CPD_279017060612,sorafenib,FLT1,30,1,0,1
CPD_279017060612,sorafenib,FLT4,30,0,0,0
CPD_279017060612,sorafenib,KDR,18,0,0,0
CPD_279017060612,sorafenib,PDGFRA,12,0,0,0
CPD_279017060612,sorafenib,RAF1,78,0,0,0
CPD_317738115337,ZM336372,RAF1,65,0,0,0
CPD_326167036106,Capmatinib,MET,12,0,0,0
CPD_351179563828,N-deshydroxyethyl dasatinib,SRC,72,11,0,5
CPD_360434106630,IRAK inhibitor 1,IRAK1,30,1,0,0
CPD_360434106630,IRAK inhibitor 1,IRAK4,30,0,0,0
CPD_430449302192,STM2457,METTL3,88,16,1,8
CPD_471264222636,Crizotinib,ALK,12,0,0,0
CPD_471264222636,Crizotinib,MET,12,0,0,0
CPD_471264222636,Crizotinib,ROS1,12,0,0,0
CPD_483004848109,momelotinib/CYT387,JAK1,75,1,0,1
CPD_483004848109,momelotinib/CYT387,JAK2,60,0,0,1
CPD_548023859323,endoxifen,ESR1,30,2,1,2
CPD_549558202917,cobimetinib,MAP2K1,30,2,0,2
CPD_549558202917,cobimetinib,MAP2K2,30,1,0,1
CPD_570860546420,MK2-IN-1,MAPKAPK2,35,2,0,2
CPD_652873333040,CP-673451,PDGFRA,10,0,0,0
CPD_727697023490,AZD-3463,ALK,10,0,0,0
CPD_727697023490,AZD-3463,IGF1R,35,0,0,0
CPD_771491795323,GCN2-IN-7,EIF2AK4,30,6,1,6
CPD_780270304878,STC-15,METTL3,88,19,4,10
CPD_849358895118,GSK126,EZH2,30,7,1,8
CPD_859937920157,KME-2780,IKBKE,60,2,0,1
CPD_859937920157,KME-2780,TBK1,30,1,0,1
CPD_908424475140,derazantinib,FGFR1,20,0,0,0
CPD_908424475140,derazantinib,FGFR2,25,1,0,0
CPD_908424475140,derazantinib,FGFR3,15,0,0,0
CPD_930596955388,veliparib,PARP1,30,1,0,2
CPD_930596955388,veliparib,PARP2,30,0,0,0
CPD_978689160853,JAB-3068,PTPN11,75,1,0,1
