public_compound_id,compound_name,target_gene,ens_min_best_percentile,cosine_best_percentile,frac_cells_top20,n_cells,consistent_pair
CPD_144607136087,XL019,JAK2,0.0007091569896285,0.0169221227961371,0.2833333333333333,60,False
CPD_483004848109,momelotinib/CYT387,JAK2,0.0015768725361366,0.0430888536945005,0.3833333333333333,60,False
CPD_849358895118,GSK126,EZH2,0.0031895100558164,0.0081471747700394,0.5,30,True
CPD_027984907598,BMS-509744,ITK,0.0043412775759723,0.0037669732807709,0.72,25,True
CPD_029002508615,SMARCA ligand 1,SMARCA4,0.0058694699956197,0.0564666252991756,0.5142857142857142,35,True
CPD_351179563828,N-deshydroxyethyl dasatinib,SRC,0.0068811097154715,0.0169491525423728,0.5694444444444444,72,True
CPD_727697023490,AZD-3463,ALK,0.0073726175522909,0.1243514827153077,0.4,10,False
CPD_236412001094,ceritinib,ALK,0.0080279613347168,0.168150292174103,0.7,10,True
CPD_168135774311,BAY-293,SOS1,0.0081553053807286,0.1273058990472329,0.3,30,False
CPD_780270304878,STC-15,METTL3,0.0090417516177643,0.0063824129066572,0.5681818181818182,88,True
CPD_430449302192,STM2457,METTL3,0.0116124457051679,0.0002659338711107,0.5,88,True
CPD_570860546420,MK2-IN-1,MAPKAPK2,0.0119054120474032,0.0099939926819944,0.3428571428571428,35,False
CPD_930596955388,veliparib,PARP2,0.0131614876303861,0.0593123052533756,0.3333333333333333,30,False
CPD_056284183052,fexagratinib,FGFR2,0.0145422689443714,0.0283662795851431,0.28,25,False
CPD_471264222636,Crizotinib,ALK,0.0146906231227131,0.1574463437278138,0.5,12,True
CPD_548023859323,endoxifen,ESR1,0.0149729777620271,0.0156811213315812,0.6,30,True
CPD_014302469794,HTH-01-015,NUAK1,0.0158673876429394,0.2088467334456165,0.24,25,False
CPD_097241972673,AZD-7624,MAPK14,0.0163934426229508,0.0010637354844428,0.475,120,False
CPD_483004848109,momelotinib/CYT387,JAK1,0.0163934426229508,0.04172355414778,0.3333333333333333,75,False
CPD_029002508615,SMARCA ligand 1,SMARCA2,0.0178712220762155,0.0104398945874721,0.2666666666666666,30,False
CPD_727697023490,AZD-3463,IGF1R,0.018404237889793,0.12,0.1714285714285714,35,False
CPD_771491795323,GCN2-IN-7,EIF2AK4,0.0188813048488609,0.0043802014892685,0.6,30,True
CPD_317738115337,ZM336372,RAF1,0.0192307692307692,0.0757025086428508,0.2,65,False
CPD_360434106630,IRAK inhibitor 1,IRAK4,0.0301754769583993,0.0819973718791064,0.1,30,False
CPD_978689160853,JAB-3068,PTPN11,0.0338983050847457,0.048892603426661,0.1866666666666666,75,False
CPD_360434106630,IRAK inhibitor 1,IRAK1,0.0392695683006825,0.0480070083223828,0.0333333333333333,30,False
CPD_179756457827,palbociclib,CDK4,0.0420499342969776,0.1663859586916053,0.3333333333333333,30,False
CPD_471264222636,Crizotinib,MET,0.042092603728202,0.1141936540877068,0.25,12,False
CPD_908424475140,derazantinib,FGFR3,0.0442935333468477,0.1088962918464311,0.4,15,False
CPD_179756457827,palbociclib,CDK6,0.0561120468043613,0.1567070622649394,0.2222222222222222,45,False
CPD_930596955388,veliparib,PARP1,0.0593959051287249,0.0465136883139895,0.2666666666666666,30,False
CPD_908424475140,derazantinib,FGFR2,0.059968293882906,0.0371420973317968,0.2,25,False
CPD_471264222636,Crizotinib,ROS1,0.0604056196359263,0.580525367265578,0.0833333333333333,12,False
CPD_104027493525,rucaparib,PARP1,0.0615535997376045,0.0481084433418977,0.2666666666666666,30,False
CPD_204680181321,ZF135/MRTX-1719,PRMT5,0.0652708686382769,0.0111518067020171,0.375,40,False
CPD_908424475140,derazantinib,FGFR1,0.0905810965943257,0.4986823434015812,0.15,20,False
CPD_056284183052,fexagratinib,FGFR3,0.0929454692884654,0.1060564687892523,0.4666666666666667,15,False
CPD_056284183052,fexagratinib,FGFR1,0.1176952932815831,0.4933581151260044,0.1,20,False
CPD_859937920157,KME-2780,TBK1,0.1405156374590236,0.0115637319316688,0.0666666666666666,30,False
CPD_092985248962,MZ1,BRD4,0.1454770975458492,0.2009391335164348,0.1,10,False
CPD_326167036106,Capmatinib,MET,0.1506587219154868,0.1090601277920375,0.1666666666666666,12,False
CPD_167907273288,lapatinib,EGFR,0.1953470591447763,0.1919313398567758,0.1,10,False
