draw,count_all_filtered,count_replicated_subset
draw_00,114.0,0.0
draw_01,113.0,0.0
draw_02,107.0,0.0
draw_03,113.0,0.0
draw_04,100.0,0.0
draw_05,95.0,0.0
draw_06,120.0,0.0
draw_07,104.0,0.0
draw_08,104.0,0.0
draw_09,117.0,0.0
draw_10,110.0,0.0
draw_11,94.0,0.0
draw_12,98.0,0.0
draw_13,108.0,0.0
draw_14,126.0,0.0
draw_15,116.0,0.0
draw_16,106.0,0.0
draw_17,114.0,0.0
draw_18,106.0,0.0
draw_19,115.0,0.0
draw_20,101.0,0.0
draw_21,130.0,0.0
draw_22,99.0,0.0
draw_23,111.0,0.0
draw_24,102.0,0.0
draw_25,113.0,0.0
draw_26,123.0,0.0
draw_27,113.0,0.0
draw_28,101.0,0.0
draw_29,119.0,0.0
draw_30,109.0,0.0
draw_31,122.0,0.0
draw_32,98.0,0.0
draw_33,117.0,0.0
draw_34,96.0,0.0
draw_35,111.0,0.0
draw_36,106.0,0.0
draw_37,127.0,0.0
draw_38,108.0,0.0
draw_39,111.0,0.0
draw_40,84.0,0.0
draw_41,115.0,0.0
draw_42,97.0,0.0
draw_43,97.0,0.0
draw_44,109.0,0.0
draw_45,112.0,0.0
draw_46,114.0,0.0
draw_47,111.0,0.0
draw_48,110.0,0.0
draw_49,103.0,0.0
draw_50,95.0,0.0
draw_51,110.0,0.0
draw_52,95.0,0.0
draw_53,123.0,0.0
draw_54,125.0,0.0
draw_55,115.0,0.0
draw_56,111.0,0.0
draw_57,131.0,0.0
draw_58,97.0,0.0
draw_59,105.0,0.0
draw_60,112.0,0.0
draw_61,110.0,0.0
draw_62,121.0,0.0
draw_63,103.0,0.0
draw_64,108.0,0.0
draw_65,109.0,0.0
draw_66,97.0,0.0
draw_67,116.0,0.0
draw_68,123.0,0.0
draw_69,108.0,0.0
draw_70,91.0,0.0
draw_71,126.0,0.0
draw_72,105.0,0.0
draw_73,102.0,0.0
draw_74,97.0,0.0
draw_75,114.0,0.0
draw_76,106.0,0.0
draw_77,105.0,0.0
draw_78,108.0,0.0
draw_79,108.0,0.0
draw_80,94.0,0.0
draw_81,121.0,0.0
draw_82,111.0,0.0
draw_83,118.0,0.0
draw_84,102.0,0.0
draw_85,112.0,0.0
draw_86,104.0,0.0
draw_87,102.0,0.0
draw_88,116.0,0.0
draw_89,94.0,0.0
draw_90,101.0,0.0
draw_91,113.0,0.0
draw_92,110.0,0.0
draw_93,117.0,0.0
draw_94,119.0,0.0
draw_95,98.0,0.0
draw_96,117.0,0.0
draw_97,90.0,0.0
draw_98,106.0,0.0
draw_99,109.0,0.0
observed,166.0,0.0
null_mean,108.79,0.0
null_sd,9.442769720796965,0.0
null_min,84.0,0.0
null_max,131.0,0.0
p_empirical,0.009900990099009901,1.0
