public_compound_id,target_gene,contexts_x,n_datasets_scored,n_datasets_top5pct,n_datasets_top1pct,best_percentile,max_cosine,median_percentile,best_dataset_exact,tier,best_z,n_contexts,contexts_y,best_rank,kd_delta_median,kd_flag_weak,contexts,name,moa_class,primary_target,evidence_strength,hub_frac,hub_flag
CPD_168135774311,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,22,12,0.0004178854993731,0.5244672298431396,0.0117314206840253,rpe1,,14.000038,3.0,,1.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_326167036106,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,22,10,0.0004178854993731,0.4576780498027801,0.0168486520810361,rpe1,,11.410301,3.0,,1.0,,,"zel028_hek293,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_930596955388,CNOT1,"zel028_h1650,zel028_hek293,zel031_a549,zel039_aec7",7,22,13,0.0002186628765101,0.4500602483749389,0.0114918512327622,xatlas_hct116,,10.452011,4.0,,4.0,,,"zel028_h1650,zel028_hek293,zel031_a549,zel039_aec7",veliparib,PARP_inhibitor,PARP1/PARP2,strong_multi_dataset,0.0459874479297673,hub_generic_stress
CPD_360434106630,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,21,13,0.0004178854993731,0.4774468243122101,0.023280253987189,rpe1,,10.157629,3.0,,5.0,,,"zel028_hek293,zel031_a549,zel039_aec7",IRAK inhibitor 1,Stress_kinase_inhibitor,IRAK1/IRAK4,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_727697023490,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,21,13,0.0004178854993731,0.5012347102165222,0.0160791348382179,rpe1,,9.731849,3.0,,7.0,,,"zel028_hek293,zel031_a549,zel039_aec7",AZD-3463,ALK_MET_inhibitor,ALK/IGF1R,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_548023859323,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,21,11,0.0004178854993731,0.5264166593551636,0.0167780867505139,rpe1,,9.583488,3.0,,4.0,,,"zel028_hek293,zel031_a549,zel039_aec7",endoxifen,Nuclear_hormone_receptor,ESR1,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_908424475140,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,20,9,0.0004178854993731,0.5242977738380432,0.0212575836335011,rpe1,,11.153741,3.0,,1.0,,,"zel028_hek293,zel031_a549,zel039_aec7",derazantinib,FGFR_inhibitor,FGFR1/2/3,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_930596955388,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,20,11,0.0004178854993731,0.5131216645240784,0.0185683301596994,rpe1,,10.782425,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",veliparib,PARP_inhibitor,PARP1/PARP2,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_317738115337,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,20,9,0.0002027163997567,0.4955930411815643,0.0159551858133812,replogle_k562_gwps,,10.031541,3.0,,3.0,,,"zel028_hek293,zel031_a549,zel039_aec7",ZM336372,MEK_RAF_multikinase,RAF1,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_780406670572,XRN1,"zel028_hek293,zel031_a549,zel039_aec7",10,19,10,0.0004178854993731,0.5130962133407593,0.0176525302231768,rpe1,,11.282747,3.0,,1.0,,,"zel028_hek293,zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0589689633805927,hub_generic_stress
