target_gene,n_compounds_hit,hub_frac,hub_flag
A1BG,351,0.0021533610223250163,specific
A1CF,154,0.0009447794798804915,specific
A2M,580,0.0035582603787706825,frequent
A2ML1,177,0.0010858829086938116,specific
A3GALT2,219,0.0013435500395703095,specific
A4GALT,215,0.0013190103128201667,specific
A4GNT,378,0.002319004177888479,specific
AAAS,316,0.0019386384132612684,specific
AACS,865,0.005306715909718345,frequent
AADAC,387,0.0023742185630763,specific
AADACL2,141,0.000865025367942528,specific
AADACL3,287,0.0017607253943227343,specific
AADACL4,701,0.004300587112962497,frequent
AADAT,1104,0.006772964583039368,frequent
AAGAB,591,0.0036257446273335746,frequent
AAK1,669,0.004104269298961356,frequent
AAMDC,225,0.0013803596296955234,specific
AAMP,778,0.004772976852902743,frequent
AANAT,168,0.0010306685235059907,specific
AAR2,222,0.0013619548346329165,specific
AARD,297,0.0018220747111980908,specific
AARS,2866,0.0175827142164772,hub_generic_stress
AARS1,1069,0.00655824197397562,frequent
AARS2,200,0.0012269863375071318,specific
AARSD1,157,0.0009631842749430985,specific
AASDH,392,0.0024048932215139786,specific
AASDHPPT,4008,0.024588806203642923,hub_generic_stress
AASS,329,0.0020183925251992317,specific
AATF,1015,0.0062269556628486945,frequent
AATK,874,0.005361930294906166,frequent
ABAT,524,0.0032147042042686854,frequent
ABCA1,284,0.0017423205992601273,specific
ABCA10,307,0.0018834240280734475,specific
ABCA12,129,0.0007914061876921001,specific
ABCA13,103,0.0006318979638161729,specific
ABCA2,186,0.0011410972938816326,specific
ABCA3,453,0.002779124054453654,specific
ABCA4,123,0.0007545965975668861,specific
ABCA5,429,0.002631885693952798,specific
ABCA6,245,0.0015030582634462364,specific
ABCA7,247,0.0015153281268213078,specific
ABCA8,200,0.0012269863375071318,specific
ABCA9,266,0.0016318918288844855,specific
ABCB1,535,0.003282188452831578,frequent
ABCB10,608,0.0037300384660216806,frequent
ABCB11,241,0.0014785185366960939,specific
ABCB4,620,0.003803657646272109,frequent
ABCB5,365,0.002239250065950516,specific
ABCB6,265,0.0016257568971969497,specific
ABCB7,323,0.0019815829350740177,specific
ABCB8,227,0.0013926294930705946,specific
ABCB9,233,0.0014294390831958085,specific
ABCC1,461,0.002828203507953939,specific
ABCC10,373,0.002288329519450801,specific
ABCC11,245,0.0015030582634462364,specific
ABCC12,399,0.002447837743326728,specific
ABCC2,794,0.004871135759903313,frequent
ABCC3,296,0.0018159397795105552,specific
ABCC4,222,0.0013619548346329165,specific
ABCC5,558,0.003423291881644898,frequent
ABCC6,265,0.0016257568971969497,specific
ABCC8,727,0.004460095336838424,frequent
ABCC9,84,0.0005153342617529954,specific
