family_id,target_gene,family_size,family_max_z,family_evidence,n_in_top100,total_family_size,n_contexts,family_contexts,hub_flag,kd_delta_median,mean_top3_z,replication_factor,composite_score
NF01,CCDC84,4,12.64,recipe,4,154,1,zel024_h1650,frequent,-0.419,11.626,1.0,7.0
NF02,SPC24,4,6.85,recipe,4,155,2,"zel024_h1650,zel024_hek293",frequent,-1.111,6.146,1.5,5.55
NF03,ULK4,3,6.29,recipe,3,114,3,"zel028_a549,zel028_h1650,zel028_hek293",frequent,-1.104,5.674,2.0,5.414
NF04,CDK1,4,6.28,recipe,4,155,2,"zel024_h1650,zel024_hek293",frequent,-0.809,5.604,1.5,5.061
NF05,ENSG00000256618,4,9.94,recipe,4,181,1,zel028_hek293,frequent,,8.281,1.0,4.986
NF06,PUM1,4,5.94,recipe,4,155,2,"zel024_h1650,zel024_hek293",frequent,-2.154,5.472,1.5,4.942
NF07,PUM1,3,7.84,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-2.154,6.768,1.5,4.843
NF08,PSMA3,3,7.98,recipe,3,136,2,"zel024_h1650,zel024_hek293",frequent,-0.93,6.711,1.5,4.803
NF09,RREB1,4,8.25,recipe,4,155,1,zel024_hek293,frequent,-0.345,7.202,1.0,4.336
NF10,RPL21,3,6.98,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.105,5.995,1.5,4.291
NF11,PLPPR2,3,6.34,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-0.411,5.939,1.5,4.25
NF12,MIER3,3,6.85,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-0.479,5.853,1.5,4.189
NF13,SMARCA5,3,9.73,recipe,3,184,1,zel028_hek293,frequent,-2.926,8.624,1.0,4.115
NF14,C5orf22,3,5.86,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.318,5.625,1.5,4.025
NF15,CCDC84,3,11.16,recipe,3,137,1,zel024_h1650,frequent,-0.419,8.38,1.0,3.998
NF16,MED22,3,5.8,recipe,3,144,2,"zel028_h1650,zel028_hek293",frequent,-0.393,5.58,1.5,3.993
NF17,CDC6,3,5.85,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.32,5.548,1.5,3.971
NF18,MAP3K4,3,6.12,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.281,5.527,1.5,3.956
NF19,BET1,3,5.73,recipe,3,169,2,"zel028_h1650,zel028_hek293",frequent,-0.862,5.448,1.5,3.899
NF20,SMC1A,3,5.93,recipe,3,132,2,"zel024_h1650,zel024_hek293",frequent,-3.179,5.431,1.5,3.887
NF21,UBXN1,3,5.6,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-0.99,5.422,1.5,3.88
NF22,PSD3,3,6.0,recipe,3,131,2,"zel028_a549,zel028_hek293",specific,-0.674,5.407,1.5,3.869
NF23,CDC6,4,7.34,recipe,4,155,1,zel024_h1650,frequent,-1.32,6.407,1.0,3.857
NF24,CCDC84,3,10.81,recipe,3,136,1,zel024_h1650,frequent,-0.419,8.077,1.0,3.854
NF25,SRRM1,3,5.84,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-2.227,5.377,1.5,3.848
NF26,KEAP1,3,5.58,recipe,3,133,2,"zel028_a549,zel028_hek293",frequent,-1.471,5.366,1.5,3.841
NF27,UBE2I,3,5.62,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-2.191,5.358,1.5,3.835
NF28,SH3GL1,3,5.48,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.087,5.334,1.5,3.818
NF29,CCDC84,3,10.25,recipe,3,136,1,zel024_h1650,frequent,-0.419,7.935,1.0,3.786
NF30,SARS1,3,5.41,recipe,3,137,2,"zel024_h1650,zel024_hek293",frequent,-1.688,5.249,1.5,3.756
NF31,IGBP1,4,6.39,recipe,4,155,1,zel024_h1650,frequent,-1.53,6.224,1.0,3.747
