rank,family_id,target_gene,family_size,family_max_z,family_evidence,public_compound_id,best_z,tier,contexts,kd_flag_weak,is_family_representative,n_contexts,family_contexts,total_family_size,hub_flag,kd_delta_median,mean_top3_z,replication_factor,composite_score
1,NF01,CCDC84,4,12.64,recipe,CPD_507104405851,12.64,B_single_context,zel024_h1650,False,True,1,zel024_h1650,154,frequent,-0.419,11.626,1.0,7.0
2,NF01,CCDC84,4,12.64,recipe,CPD_351427144711,11.65,B_single_context,zel024_h1650,False,False,1,zel024_h1650,154,frequent,-0.419,11.626,1.0,7.0
3,NF01,CCDC84,4,12.64,recipe,CPD_671365185969,10.59,B_single_context,zel024_h1650,False,False,1,zel024_h1650,154,frequent,-0.419,11.626,1.0,7.0
4,NF01,CCDC84,4,12.64,recipe,CPD_077467353364,10.42,B_single_context,zel024_h1650,False,False,1,zel024_h1650,154,frequent,-0.419,11.626,1.0,7.0
5,NF02,SPC24,4,6.85,recipe,CPD_401750700380,6.85,C_moderate,zel024_hek293,False,True,2,"zel024_h1650,zel024_hek293",155,frequent,-1.111,6.146,1.5,5.55
6,NF02,SPC24,4,6.85,recipe,CPD_357906504683,6.0,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",155,frequent,-1.111,6.146,1.5,5.55
7,NF02,SPC24,4,6.85,recipe,CPD_749020755011,5.59,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",155,frequent,-1.111,6.146,1.5,5.55
8,NF02,SPC24,4,6.85,recipe,CPD_849946099700,5.15,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",155,frequent,-1.111,6.146,1.5,5.55
9,NF03,ULK4,3,6.29,recipe,CPD_969193984090,6.29,C_moderate,zel028_a549,False,True,3,"zel028_a549,zel028_h1650,zel028_hek293",114,frequent,-1.104,5.674,2.0,5.414
10,NF03,ULK4,3,6.29,recipe,CPD_612189930424,5.72,C_moderate,zel028_hek293,False,False,3,"zel028_a549,zel028_h1650,zel028_hek293",114,frequent,-1.104,5.674,2.0,5.414
