control,n_wells,pls1_corr,null_mean,null_std,null_p95,p_value
AZD-3463,320,0.5189199179687172,0.30007104864455164,0.026404539959576433,0.34149972353720165,0.004975124378109453
AZD-7624,378,0.48727371574770834,0.27757434828407496,0.02719152234841768,0.3217389876252905,0.004975124378109453
BAY-293,374,0.5327887645156699,0.2747177425677878,0.026449937398414714,0.32180279483941704,0.004975124378109453
BGT226,177,0.6381863944205085,0.3556184811141941,0.03931261032074832,0.42609344762271,0.004975124378109453
BMS-509744,326,0.4885689241275752,0.3025487919595231,0.029602404615106638,0.3529962564657146,0.004975124378109453
CP-673451,389,0.6382607642163345,0.232998628981497,0.026582879199909083,0.2743674607131124,0.004975124378109453
Capmatinib,170,0.5701530057807229,0.38915681264500795,0.034901906401568414,0.4423430055553588,0.004975124378109453
Crizotinib,428,0.7515376285142678,0.2291739831084574,0.024356532674453188,0.2718954479598208,0.004975124378109453
GCN2-IN-7,295,0.5566804365781235,0.2888341547333356,0.027381133491433382,0.3432054072318021,0.004975124378109453
GSK126,362,0.6463182706206099,0.24243968131975926,0.026277116745200495,0.2923530104553239,0.004975124378109453
HTH-01-015,361,0.7117009259702269,0.25150894710694777,0.027456199510781425,0.29976050112072045,0.004975124378109453
IRAK inhibitor 1,351,0.51212995725424,0.21069961574898705,0.029368063892201094,0.2639911401810664,0.004975124378109453
JAB-3068,343,0.5535965562297139,0.2846186469614837,0.02697993022626487,0.33239883969886386,0.004975124378109453
KME-2780,319,0.5946328159308327,0.23463958919548772,0.030005286109153692,0.2829109000836638,0.004975124378109453
MK2-IN-1,205,0.5333368430867421,0.3436338413440525,0.03744010185194081,0.40964171260590604,0.004975124378109453
MSC1094308,229,0.513811703402053,0.3725665901761345,0.03147300576206514,0.4233715466113131,0.004975124378109453
N-deshydroxyethyl dasatinib,344,0.5732510998760059,0.26163190854309604,0.027676488631732853,0.310047935549718,0.004975124378109453
SMARCA ligand 1,424,0.6302734499712744,0.22132562140788295,0.026128850751978534,0.2701237125487005,0.004975124378109453
STC-15,427,0.6435401960945475,0.23412548890052,0.023696286380566867,0.27464943477300185,0.004975124378109453
STM2457,293,0.6683821165734724,0.27812875526418557,0.029439369045788113,0.3229939097267298,0.004975124378109453
XL019,354,0.5298786133431911,0.2704292143929332,0.02672061564120303,0.31426855253911357,0.004975124378109453
ZF135/MRTX-1719,326,0.4894021571211425,0.29576424449110766,0.02684912175359577,0.3388172634897527,0.004975124378109453
ZM336372,228,0.5925897179092207,0.34649059479376304,0.033235340065907816,0.4031776793334002,0.004975124378109453
aloperine,281,0.46523950676289233,0.31203984014207053,0.025012727211025,0.353339818654115,0.004975124378109453
ceritinib,331,0.6358950527855953,0.26682927712842486,0.026704295804136823,0.3134701237717255,0.004975124378109453
cobimetinib,378,0.5063603048324921,0.2738598705390512,0.024484701252646172,0.31498292837370706,0.004975124378109453
derazantinib,342,0.5415774325393687,0.3049091305643934,0.028134021501491562,0.35476381823934006,0.004975124378109453
endoxifen,352,0.60145039523434,0.2650370485980811,0.029511560572150562,0.3178002552849803,0.004975124378109453
fexagratinib,356,0.5551794538203739,0.28838041777534207,0.026465558797449662,0.3341487664689554,0.004975124378109453
lapatinib,336,0.5416171588202598,0.29538108630309606,0.025687553485090334,0.3370028317820856,0.004975124378109453
momelotinib/CYT387,357,0.5243390030753724,0.27920850471382375,0.027632025037234404,0.3235880815740317,0.004975124378109453
palbociclib,410,0.6036219470608596,0.2529707647349228,0.022380506364357393,0.2911457845402108,0.004975124378109453
rucaparib,386,0.6186304100494795,0.23426358251944213,0.024660559480857686,0.27870719663644705,0.004975124378109453
sorafenib,145,0.61603551528373,0.3911023354134325,0.04331105934161896,0.46602961295024803,0.004975124378109453
veliparib,338,0.5053827804083634,0.29660635384675105,0.027455625669945395,0.34192466474843763,0.004975124378109453
GLOBAL_WITHIN_CONTROL,11435,0.4202161456433938,0.05210478386950093,0.005508314114236149,0.06100015204363527,0.004975124378109453
