context,cluster_id,n_members,coherence,coherence_z,coherence_q,anchor_bb,anchor_pos,anchor_frac,top_up_set,top_up_q,top_dn_set,top_dn_q,prior_series_n,centroid_row,atlas_id,atlas_namespace
zel024_h1650,14,12,0.8141068013409641,14.913788200094316,2.249809214988148e-49,BB_6474669253,bb1,1.0,MSigDB_Hallmark_2020:Myc Targets V1,0.3431743045536508,Reactome_2022:SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.0102933473550604,0,0,zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1
zel024_h1650,21,4,0.8702524978659611,4.525746214992004,4.495849174081727e-06,BB_4347926671,bb1,1.0,Reactome_2022:Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,5.178111362286785e-10,Reactome_2022:Peptide Chain Elongation R-HSA-156902,2.599900331554388e-13,0,1,zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1
zel024_h1650,50,4,0.8759365881786577,4.555430630925891,3.994257586570866e-06,BB_3511951537,bb0,1.0,Reactome_2022:Cyclin E Associated Events During G1/S Transition R-HSA-69202,0.0550352314879135,KEGG_2021_Human:Tryptophan metabolism,1.0,0,2,zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1
zel024_h1650,57,4,0.8742336933393426,4.546537486038839,4.147840640814529e-06,BB_4347926671,bb1,1.0,MSigDB_Hallmark_2020:Myc Targets V1,0.0690982272090046,"Reactome_2022:Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",0.469932072707216,0,3,zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1
zel024_h1650,195,3,0.8390333527402728,3.150214324588571,0.0008247629639731,BB_8873714086,bb1,1.0,Reactome_2022:Striated Muscle Contraction R-HSA-390522,0.2455223377828581,KEGG_2021_Human:Riboflavin metabolism,1.0,0,4,zscreen_original_graph_v1:zel024_h1650:195,zscreen_original_graph_v1
zel024_h1650,209,17,0.850990873164429,15.175928976478271,4.50940082074301e-51,BB_4347926671,bb1,1.0,MSigDB_Hallmark_2020:mTORC1 Signaling,0.0186416136199907,Reactome_2022:Selenocysteine Synthesis R-HSA-2408557,5.167943591142584e-28,0,5,zscreen_original_graph_v1:zel024_h1650:209,zscreen_original_graph_v1
zel024_h1650,212,3,0.8463353332057718,3.177691584272182,0.0007519705336508,BB_4932061249,bb0,1.0,Reactome_2022:Basigin Interactions R-HSA-210991,0.0006728417287817,MSigDB_Hallmark_2020:Apoptosis,0.1230534144343169,0,6,zscreen_original_graph_v1:zel024_h1650:212,zscreen_original_graph_v1
zel024_h1650,246,3,0.863883562042612,3.243725346347486,0.0006030623797355,BB_3511951537,bb0,1.0,Reactome_2022:Striated Muscle Contraction R-HSA-390522,0.2455223377828581,MSigDB_Hallmark_2020:Myogenesis,1.0,0,7,zscreen_original_graph_v1:zel024_h1650:246,zscreen_original_graph_v1
zel024_h1650,357,3,0.8872871367974327,3.3317927006907926,0.0004492891694985,BB_6601289516,bb1,1.0,Reactome_2022:Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,1.0,Reactome_2022:RHO GTPase Effectors R-HSA-195258,1.0,0,8,zscreen_original_graph_v1:zel024_h1650:357,zscreen_original_graph_v1
zel024_h1650,392,6,0.8873594263080957,6.923029180802501,7.675539019703988e-12,BB_4281749019,bb3,1.0,MSigDB_Hallmark_2020:G2-M Checkpoint,0.0001153384173981,Reactome_2022:Processing Of SMDT1 R-HSA-8949664,1.0,0,9,zscreen_original_graph_v1:zel024_h1650:392,zscreen_original_graph_v1
zel024_h1650,412,4,0.8564661479439314,4.453748811224237,6.018024325260456e-06,BB_9483475878,bb1,1.0,KEGG_2021_Human:Antigen processing and presentation,0.000253970741257,Reactome_2022:Axon Guidance R-HSA-422475,0.2038680624909082,0,10,zscreen_original_graph_v1:zel024_h1650:412,zscreen_original_graph_v1
zel024_h1650,632,6,0.8860842840937619,6.912948517450043,8.157082445794979e-12,BB_8232087379,bb1,1.0,MSigDB_Hallmark_2020:G2-M Checkpoint,0.0338812569805207,KEGG_2021_Human:Amyotrophic lateral sclerosis,0.0201294146232765,0,11,zscreen_original_graph_v1:zel024_h1650:632,zscreen_original_graph_v1
zel024_h1650,708,4,0.8920664075740451,4.639666496566815,2.8899234326161165e-06,BB_8232087379,bb1,1.0,"Reactome_2022:Cell Cycle, Mitotic R-HSA-69278",0.2376471969575225,KEGG_2021_Human:Apoptosis,1.0,0,12,zscreen_original_graph_v1:zel024_h1650:708,zscreen_original_graph_v1
zel024_h1650,815,3,0.9069535047317416,3.4057969932683565,0.0003630219303559,BB_2686618432,bb1,1.0,KEGG_2021_Human:Tight junction,0.0028021805338138,KEGG_2021_Human:Ribosome,0.00851259176756,0,13,zscreen_original_graph_v1:zel024_h1650:815,zscreen_original_graph_v1
zel024_h1650,860,6,0.8397860618180625,6.546936956282754,8.595965740613739e-11,BB_6601289516,bb1,1.0,Reactome_2022:RHO GTPase Effectors R-HSA-195258,0.0121175695340533,Reactome_2022:Formation Of A Pool Of Free 40S Subunits R-HSA-72689,2.146757645207752e-20,0,14,zscreen_original_graph_v1:zel024_h1650:860,zscreen_original_graph_v1
zel024_h1650,869,3,0.8808462406590171,3.307555690385628,0.0004855163678932,BB_5290020531,bb2,1.0,KEGG_2021_Human:Spliceosome,0.7150846740992071,KEGG_2021_Human:Retrograde endocannabinoid signaling,0.5001345695356805,0,15,zscreen_original_graph_v1:zel024_h1650:869,zscreen_original_graph_v1
zel024_h1650,1002,4,0.8621016996183889,4.483179740487948,5.358444956232473e-06,BB_4347926671,bb1,1.0,KEGG_2021_Human:Spliceosome,0.0007643414153271,Reactome_2022:SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.0023334837446986,0,16,zscreen_original_graph_v1:zel024_h1650:1002,zscreen_original_graph_v1
zel024_h1650,1031,3,0.8762150248613123,3.2901284842015484,0.0005139787795521,BB_2686618432,bb1,1.0,Reactome_2022:Nuclear Envelope (NE) Reassembly R-HSA-2995410,1.0,KEGG_2021_Human:Complement and coagulation cascades,0.8964275456888857,0,17,zscreen_original_graph_v1:zel024_h1650:1031,zscreen_original_graph_v1
zel024_h1650,1203,3,0.8434713676178459,3.1669145181657767,0.0007796183817573,BB_6601289516,bb1,1.0,MSigDB_Hallmark_2020:Oxidative Phosphorylation,0.0034623901487303,Reactome_2022:Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,1.0,0,18,zscreen_original_graph_v1:zel024_h1650:1203,zscreen_original_graph_v1
zel024_h1650,1279,3,0.8474972749811442,3.182063956404646,0.0007414558408773,BB_9483475878,bb1,1.0,KEGG_2021_Human:Gastric acid secretion,0.0137527279648425,KEGG_2021_Human:Ubiquitin mediated proteolysis,1.0,0,19,zscreen_original_graph_v1:zel024_h1650:1279,zscreen_original_graph_v1
zel024_h1650,1292,6,0.8582872683698503,6.69319863028773,3.4248107854247465e-11,BB_3472530680,bb2,1.0,KEGG_2021_Human:Protein processing in endoplasmic reticulum,0.1281612812291366,Reactome_2022:RHO GTPases Activate Formins R-HSA-5663220,0.3140738054636323,0,20,zscreen_original_graph_v1:zel024_h1650:1292,zscreen_original_graph_v1
zel024_h1650,1301,3,0.9231985330612876,3.466926828398372,0.0003012103941875,BB_4347926671,bb1,1.0,Reactome_2022:Interleukin-35 Signaling R-HSA-8984722,0.0710088733509071,Reactome_2022:Peptide Chain Elongation R-HSA-156902,1.0232142492611353e-21,0,21,zscreen_original_graph_v1:zel024_h1650:1301,zscreen_original_graph_v1
zel024_h1650,1462,3,0.9031612170875692,3.391526663063254,0.0003779207929536,BB_8232087379,bb1,1.0,"Reactome_2022:Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",1.0,Reactome_2022:Developmental Biology R-HSA-1266738,0.003312789787699,0,22,zscreen_original_graph_v1:zel024_h1650:1462,zscreen_original_graph_v1
zel024_h1650,1522,4,0.8795641830900184,4.574375269428196,3.711316029658885e-06,BB_8873714086,bb1,1.0,MSigDB_Hallmark_2020:Myc Targets V1,9.718424187370192e-06,Reactome_2022:SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,0.7002064647892785,0,23,zscreen_original_graph_v1:zel024_h1650:1522,zscreen_original_graph_v1
zel024_h1650,1561,3,0.8988541014615948,3.375319041706088,0.0003945072979676,BB_5290020531,bb2,1.0,Reactome_2022:Signaling By Rho GTPases R-HSA-194315,0.3585710182755542,Reactome_2022:Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,0.0286297949875775,0,24,zscreen_original_graph_v1:zel024_h1650:1561,zscreen_original_graph_v1
zel024_h1650,1588,4,0.8538716733081784,4.44019950782109,6.364602471963853e-06,BB_4347926671,bb1,1.0,KEGG_2021_Human:Tight junction,0.0266213815198645,Reactome_2022:Interferon Alpha/Beta Signaling R-HSA-909733,0.8265209831787868,0,25,zscreen_original_graph_v1:zel024_h1650:1588,zscreen_original_graph_v1
zel024_h1650,1597,3,0.8559157292636937,3.213742492871452,0.0006656621332287,BB_8232087379,bb1,1.0,KEGG_2021_Human:Glutamatergic synapse,0.6885720120383221,MSigDB_Hallmark_2020:Oxidative Phosphorylation,0.0922063189499363,0,26,zscreen_original_graph_v1:zel024_h1650:1597,zscreen_original_graph_v1
zel024_h1650,2235,3,0.8563492632918069,3.215373875909031,0.0006625588421843,BB_4347926671,bb1,1.0,Reactome_2022:Cellular Response To Chemical Stress R-HSA-9711123,1.0,KEGG_2021_Human:Ribosome,0.0542735850894634,0,27,zscreen_original_graph_v1:zel024_h1650:2235,zscreen_original_graph_v1
zel024_h1650,2298,4,0.8941678876693571,4.650641200660923,2.814365931492319e-06,BB_3472530680,bb2,1.0,Reactome_2022:Selective Autophagy R-HSA-9663891,0.0121175695340533,KEGG_2021_Human:Pathways of neurodegeneration,1.0,0,28,zscreen_original_graph_v1:zel024_h1650:2298,zscreen_original_graph_v1
