atlas_id,atlas_namespace,context,cluster_id,public_compound_id,member_order,core_usage_row,core_surface_row
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_002023185273,0,15,15
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_017759183969,1,183,183
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_058130493091,2,611,611
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_089774505110,3,970,970
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_223331849591,4,2355,2355
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_391139902627,5,4061,4061
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_411164030933,6,4270,4270
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_446626963143,7,4669,4669
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_536848238749,8,5628,5628
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_549166305471,9,5743,5743
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_726068429569,10,7648,7648
zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,CPD_904496273331,11,9688,9688
zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1,zel024_h1650,21,CPD_002749833829,0,22,22
zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1,zel024_h1650,21,CPD_496624481702,1,5200,5200
zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1,zel024_h1650,21,CPD_829718822450,2,8846,8846
zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1,zel024_h1650,21,CPD_991793725728,3,10600,10600
zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1,zel024_h1650,50,CPD_005867763668,0,56,56
zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1,zel024_h1650,50,CPD_295583576381,1,3105,3105
zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1,zel024_h1650,50,CPD_491433061321,2,5148,5148
zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1,zel024_h1650,50,CPD_942700587999,3,10098,10098
zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1,zel024_h1650,57,CPD_006380465510,0,63,63
zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1,zel024_h1650,57,CPD_364115326126,1,3798,3798
zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1,zel024_h1650,57,CPD_709642307411,2,7479,7479
zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1,zel024_h1650,57,CPD_979681170131,3,10473,10473
zscreen_original_graph_v1:zel024_h1650:195,zscreen_original_graph_v1,zel024_h1650,195,CPD_021096888109,0,222,222
zscreen_original_graph_v1:zel024_h1650:195,zscreen_original_graph_v1,zel024_h1650,195,CPD_222214897910,1,2347,2347
zscreen_original_graph_v1:zel024_h1650:195,zscreen_original_graph_v1,zel024_h1650,195,CPD_624107131178,2,6561,6561
zscreen_original_graph_v1:zel024_h1650:209,zscreen_original_graph_v1,zel024_h1650,209,CPD_022554952821,0,237,237
