position,public_building_block_id,core_compounds,imaged_representative_candidates,standardized_median_response_norm,eligible
bb0,BB_0078506578,1157,40,2.347896309453924,True
bb0,BB_0175183327,1150,29,0.4688420884506447,True
bb0,BB_0326377388,1160,51,1.2724235850809626,True
bb0,BB_1008886218,1162,38,1.5510491590588045,True
bb0,BB_1174006333,1154,34,2.362550970253817,True
bb0,BB_2046017352,1162,47,1.443470512008936,True
bb0,BB_3511951537,1161,49,0.3726730231428114,True
bb0,BB_4186593764,1162,53,1.081599298593199,True
bb0,BB_4932061249,1162,51,2.1414628960807947,True
bb0,BB_7258043180,1161,33,0.8982600454642594,True
bb0,BB_7372899989,1162,60,2.5027352998651446,True
bb0,BB_8772701107,1161,33,0.9616980663114814,True
bb1,BB_2686618432,1989,42,0.44867612116343353,True
bb1,BB_4347926671,1991,123,2.1349357958334014,True
bb1,BB_6474669253,1990,80,1.7028470999637388,True
bb1,BB_6601289516,1990,105,1.9192913108818983,True
bb1,BB_8232087379,1990,53,1.7513099625402286,True
bb1,BB_8873714086,1980,41,2.362504255489542,True
bb1,BB_9483475878,1984,74,0.9447542477157647,True
bb2,BB_3472530680,6951,281,0.633202548442743,True
bb2,BB_5290020531,6963,237,0.6473413534937444,True
bb3,BB_0173485578,168,7,0.9944009226192226,True
bb3,BB_0178192231,168,1,1.333649103309422,False
bb3,BB_0662554446,167,3,1.8558364778950978,False
bb3,BB_0665565048,167,5,2.1273288682524383,True
bb3,BB_0671730704,166,6,1.1876479147458514,True
bb3,BB_0786918661,168,7,1.7240533190378409,True
bb3,BB_0896893626,168,5,1.7827179372012252,True
bb3,BB_0972548426,167,3,1.4503184730866394,False
bb3,BB_1193003673,167,1,3.7347468150472856,False
bb3,BB_1235396373,168,10,1.5367642456927986,True
bb3,BB_1483345899,168,6,0.98383252811653,True
bb3,BB_1505273541,167,6,1.9132656585540535,True
bb3,BB_1579169438,168,4,1.5173394141936611,False
bb3,BB_1619714190,168,6,1.2301689810671437,True
bb3,BB_1630146909,168,0,0.9248128796462725,False
bb3,BB_1708320181,168,12,2.247865672666686,True
bb3,BB_2122574568,168,14,2.408385248950539,True
bb3,BB_2459734371,168,4,1.231283805597984,False
bb3,BB_2672352977,168,4,1.1566769836518809,False
bb3,BB_3027049330,167,4,1.1275084741132706,False
bb3,BB_3389989535,168,9,2.327744539219119,True
bb3,BB_3497641765,168,9,0.767140095253775,True
bb3,BB_3586809514,168,11,1.9504183445838024,True
bb3,BB_3609802542,168,4,2.8822762620293143,False
bb3,BB_3866639127,168,15,1.2623247675623321,True
bb3,BB_4017357939,168,4,2.144334179140531,False
bb3,BB_4111522701,168,1,2.034358300423651,False
bb3,BB_4196815390,168,4,3.860596930639033,False
bb3,BB_4281749019,168,7,3.3319520611492077,True
bb3,BB_4313530054,168,12,1.3252168521938046,True
bb3,BB_4417860298,168,6,1.6349011059677714,True
bb3,BB_4464134601,168,10,1.947765214538373,True
bb3,BB_4560745800,167,10,1.897595414886665,True
bb3,BB_5008846823,168,7,3.0654781698821574,True
bb3,BB_5090475991,167,6,1.6205296149263375,True
bb3,BB_5272889191,167,6,1.7697629920386433,True
bb3,BB_5330967050,168,10,1.4824056924814288,True
bb3,BB_5345232705,168,3,1.1252510963435416,False
bb3,BB_5443714227,168,3,1.230851752921965,False
bb3,BB_5543109086,168,3,2.046024451269895,False
bb3,BB_5798078569,168,13,2.328009974514934,True
bb3,BB_6048600856,167,12,2.315899790765457,True
bb3,BB_6210856258,168,8,1.8609711614468722,True
bb3,BB_6235533440,168,11,1.1113032877555595,True
bb3,BB_6545568677,168,2,1.4087245396535695,False
bb3,BB_6860382851,168,4,1.3471064661237493,False
bb3,BB_7055283758,167,4,2.823987348700258,False
bb3,BB_7082156996,168,5,1.6183506656111353,True
bb3,BB_7153250188,159,5,1.8373716146200625,True
bb3,BB_7255455512,168,9,2.1961179687829815,True
bb3,BB_7426840745,168,8,1.2085081036062588,True
