role,public_compound_id,valid_zs13_crops,distance_to_family_median,standardized_response_norm,eligible_as_representative,chosen
response_family,CPD_007150441980,0,4.158048536878474,5.532719673622098,False,False
response_family,CPD_012144995375,0,2.659895781708653,4.684130592605436,False,False
response_family,CPD_014479137049,0,5.7344117929923994,4.868051117716401,False,False
response_family,CPD_019482918594,1,3.443020428397375,5.613064582879095,False,False
response_family,CPD_035198405969,0,3.64814776480889,5.909664681157054,False,False
response_family,CPD_037581640991,0,3.0913661089881113,5.452564046344747,False,False
response_family,CPD_042709724283,1,3.7556047546773113,6.113194297477276,False,False
response_family,CPD_048894012985,0,5.273198120912622,3.7495414608837234,False,False
response_family,CPD_050836538329,2,7.955614186041151,6.790369450337414,False,False
response_family,CPD_062545068209,2,5.113695073410643,4.971958039831189,False,False
response_family,CPD_062834630247,1,6.310306132927135,5.323017729736079,False,False
response_family,CPD_075935304383,0,3.6706299516177174,4.310604871701559,False,False
response_family,CPD_082140120664,2,5.386698821033131,6.272601461848336,False,False
response_family,CPD_082295038703,1,3.594048656143509,4.713268886516871,False,False
response_family,CPD_083204602447,1,3.26704623517334,4.927167961923429,False,False
response_family,CPD_090778653305,0,4.3455995070108315,7.099712497215704,False,False
response_family,CPD_095535227469,0,3.951755232991374,4.745525645081818,False,False
response_family,CPD_097640532118,0,5.755549541678147,8.436140063365755,False,False
response_family,CPD_098112216250,0,4.046346772797578,5.62420437483761,False,False
response_family,CPD_099652857544,0,5.146463855365354,4.141295898725372,False,False
response_family,CPD_112297692008,0,2.961433717707965,5.541906973702259,False,False
response_family,CPD_125840264241,0,3.7561149636344235,6.632373977127801,False,False
response_family,CPD_129487937350,0,4.3161706759770775,6.8432654215140225,False,False
response_family,CPD_135043249016,0,2.6552892621245743,5.2529663206929005,False,False
response_family,CPD_137860293305,2,7.242142655621094,7.448914390908752,False,False
response_family,CPD_158360252411,1,7.429147605339334,5.634626372045592,False,False
response_family,CPD_158690249319,1,2.6886495349942434,4.8117638945996495,False,False
response_family,CPD_159660868165,0,4.360975853067183,4.174650875551781,False,False
response_family,CPD_164658442550,0,4.793335373519167,6.954915138583083,False,False
response_family,CPD_169347971113,0,3.55828271441827,5.81151471822522,False,False
response_family,CPD_177691408150,1,4.5447068893672675,5.228032451736857,False,False
response_family,CPD_183194536753,1,3.6473335887418625,5.220189117849129,False,False
response_family,CPD_184053431094,0,5.346587403796223,4.38701648995039,False,False
response_family,CPD_222635884865,0,5.436009524248424,5.116298784101359,False,False
response_family,CPD_224479398125,0,3.7787300376094297,4.992525945128418,False,False
